,Mo_3pz
-83.3039,3.728403419353e-10
-83.2939,5.76859629335e-10
-83.28389999999999,8.81353605465e-10
-83.2739,1.3334532041609997e-09
-83.26389999999999,1.996513690859e-09
-83.25389999999999,2.9550167830269998e-09
-83.2439,4.326648270473001e-09
-83.23389999999999,6.270819036710001e-09
-83.2239,8.98467756955e-09
-83.2139,1.2745888590640001e-08
-83.20389999999999,1.787143132999e-08
-83.1939,2.480700882185e-08
-83.1839,3.397524691524e-08
-83.17389999999999,4.6154197957450016e-08
-83.1639,6.207105731449998e-08
-83.1539,8.257501106349999e-08
-83.14389999999999,1.0853328628550001e-07
-83.1339,1.4100316507530004e-07
-83.12389999999999,1.814099955499e-07
-83.11389999999999,2.3107196777020002e-07
-83.1039,2.908106008981e-07
-83.09389999999999,3.6213776100230013e-07
-83.0839,4.455382581737e-07
-83.0739,5.437517865536999e-07
-83.06389999999999,6.55908876133e-07
-83.0539,7.819995969599999e-07
-83.0439,9.230036990140001e-07
-83.03389999999999,1.0778611422029999e-06
-83.0239,1.2445013164909998e-06
-83.01389999999999,1.421764251699e-06
-83.00389999999999,1.6057292673549997e-06
-82.9939,1.7947451636479997e-06
-82.98389999999999,1.985780979818e-06
-82.9739,2.1727663560059996e-06
-82.9639,2.350349711234e-06
-82.95389999999999,2.5158111752750004e-06
-82.9439,2.665246888328e-06
-82.9339,2.793576699048001e-06
-82.92389999999999,2.8941006677540003e-06
-82.9139,2.967718734125e-06
-82.9039,3.0115297075179998e-06
-82.89389999999999,3.021031508844001e-06
-82.8839,2.9986264965920006e-06
-82.87389999999999,2.944212892111e-06
-82.86389999999999,2.8610939649739995e-06
-82.8539,2.7487656153329997e-06
-82.84389999999999,2.6140343336200004e-06
-82.8339,2.4581950203620005e-06
-82.8239,2.2862241856389997e-06
-82.81389999999999,2.105599840259e-06
-82.8039,1.916394203993e-06
-82.7939,1.7262582876170005e-06
-82.78389999999999,1.5372526415290004e-06
-82.7739,1.354628526026e-06
-82.76389999999999,1.1817063311339996e-06
-82.75389999999999,1.0191670972490005e-06
-82.7439,8.69600744443e-07
-82.73389999999999,7.339378528570002e-07
-82.7239,6.13178492472e-07
-82.7139,5.063827633599e-07
-82.70389999999999,4.134603154099001e-07
-82.6939,3.3439118864319996e-07
-82.6839,2.676048178954e-07
-82.67389999999999,2.118363021326e-07
-82.6639,1.6567816018290002e-07
-82.6539,1.2828909698289997e-07
-82.64389999999999,9.828182241119999e-08
-82.6339,7.445904137159999e-08
-82.62389999999999,5.5766531778500006e-08
-82.61389999999999,4.134501954089001e-08
-82.6039,3.0351354597310004e-08
-82.59389999999999,2.201853578572e-08
-82.5839,1.5812132852969995e-08
-82.5739,1.1227821461009995e-08
-82.56389999999999,7.884312475320001e-09
-82.5539,5.480529769123e-09
-82.5439,3.770913422614999e-09
-82.53389999999999,2.562821459261e-09
-82.5239,1.7242479375829996e-09
-82.51389999999999,1.1483781482200003e-09
-82.50389999999999,7.553230746810001e-10
-82.4939,4.924694121249999e-10
-82.48389999999999,3.171868831476e-10
-82.4739,2.022139753223e-10
-82.4639,1.274598989084e-10
-82.45389999999999,7.94812598021e-11
-82.4439,4.9036892200010006e-11
-82.4339,2.995325226299e-11
-82.42389999999999,1.807518364667e-11
-82.4139,1.0810819624620001e-11
-82.4039,6.37834724668e-12
-82.39389999999999,3.7386065195649984e-12
-82.3839,2.159993364808e-12
-82.37389999999999,1.2347795057249998e-12
-82.36389999999999,6.986795598399998e-13
-82.3539,3.910348134963999e-13
-82.34389999999999,2.1677154357139997e-13
-82.3339,1.1877880316900003e-13
-82.3239,6.441559951230003e-14
-82.31389999999999,3.4607365954410003e-14
-82.3039,1.832013856898e-14
-82.2939,9.6045292228e-15
-82.28389999999999,4.989109426987e-15
-82.2739,2.56282033924e-15
-82.26389999999999,1.3022353614030002e-15
-82.25389999999999,6.538084659779999e-16
-82.2439,3.2478886383000007e-16
-82.23389999999999,1.5991475469520002e-16
-82.2239,7.777385766020001e-17
-82.2139,3.749607020592999e-17
-82.20389999999999,1.7840021126150003e-17
-82.1939,0.0
-82.1839,0.0
-82.17389999999999,0.0
-82.1639,0.0
-82.1539,0.0
-82.14389999999999,0.0
-82.1339,0.0
-82.12389999999999,0.0
-82.11389999999999,0.0
-82.1039,0.0
-82.09389999999999,0.0
-82.0839,0.0
-82.0739,0.0
-82.06389999999999,0.0
-82.0539,0.0
-82.0439,0.0
-82.03389999999999,0.0
-82.0239,0.0
-82.01389999999999,0.0
-82.00389999999999,0.0
-81.9939,0.0
-81.98389999999999,0.0
-81.9739,0.0
-81.9639,0.0
-81.95389999999999,0.0
-81.9439,0.0
-81.9339,0.0
-81.92389999999999,0.0
-81.9139,0.0
-81.9039,0.0
-81.89389999999999,0.0
-81.8839,0.0
-81.87389999999999,0.0
-81.86389999999999,0.0
-81.8539,0.0
-81.84389999999999,0.0
-81.8339,0.0
-81.8239,0.0
-81.81389999999999,0.0
-81.8039,0.0
-81.7939,0.0
-81.78389999999999,0.0
-81.7739,0.0
-81.76389999999999,0.0
-81.75389999999999,0.0
-81.7439,0.0
-81.73389999999999,0.0
-81.7239,0.0
-81.7139,0.0
-81.70389999999999,0.0
-81.6939,0.0
-81.6839,0.0
-81.67389999999999,0.0
-81.6639,0.0
-81.6539,0.0
-81.64389999999999,0.0
-81.6339,0.0
-81.62389999999999,0.0
-81.61389999999999,0.0
-81.6039,0.0
-81.59389999999999,0.0
-81.5839,0.0
-81.5739,0.0
-81.56389999999999,0.0
-81.5539,0.0
-81.5439,0.0
-81.53389999999999,0.0
-81.5239,0.0
-81.51389999999999,0.0
-81.50389999999999,0.0
-81.4939,0.0
-81.48389999999999,0.0
-81.4739,0.0
-81.4639,0.0
-81.45389999999999,0.0
-81.4439,0.0
-81.4339,0.0
-81.42389999999999,0.0
-81.4139,0.0
-81.4039,0.0
-81.39389999999999,0.0
-81.3839,0.0
-81.37389999999999,0.0
-81.36389999999999,0.0
-81.3539,0.0
-81.34389999999999,0.0
-81.3339,0.0
-81.3239,0.0
-81.31389999999999,0.0
-81.3039,0.0
-81.2939,0.0
-81.28389999999999,0.0
-81.2739,0.0
-81.26389999999999,0.0
-81.25389999999999,0.0
-81.2439,0.0
-81.23389999999999,0.0
-81.2239,0.0
-81.2139,0.0
-81.20389999999999,0.0
-81.1939,0.0
-81.1839,0.0
-81.17389999999999,0.0
-81.1639,0.0
-81.1539,0.0
-81.14389999999999,0.0
-81.1339,0.0
-81.12389999999999,0.0
-81.11389999999999,0.0
-81.1039,0.0
-81.09389999999999,0.0
-81.0839,0.0
-81.0739,0.0
-81.06389999999999,0.0
-81.0539,0.0
-81.0439,0.0
-81.03389999999999,0.0
-81.0239,0.0
-81.01389999999999,0.0
-81.00389999999999,0.0
-80.9939,0.0
-80.98389999999999,0.0
-80.9739,0.0
-80.9639,0.0
-80.95389999999999,0.0
-80.9439,0.0
-80.9339,0.0
-80.92389999999999,0.0
-80.9139,0.0
-80.9039,0.0
-80.89389999999999,0.0
-80.8839,0.0
-80.87389999999999,0.0
-80.86389999999999,0.0
-80.8539,0.0
-80.84389999999999,0.0
-80.8339,0.0
-80.8239,0.0
-80.81389999999999,0.0
-80.8039,0.0
-80.7939,0.0
-80.78389999999999,0.0
-80.7739,0.0
-80.76389999999999,0.0
-80.75389999999999,0.0
-80.7439,0.0
-80.73389999999999,0.0
-80.7239,0.0
-80.7139,0.0
-80.70389999999999,0.0
-80.6939,0.0
-80.6839,0.0
-80.67389999999999,0.0
-80.6639,0.0
-80.6539,0.0
-80.64389999999999,0.0
-80.6339,0.0
-80.62389999999999,0.0
-80.61389999999999,0.0
-80.6039,0.0
-80.59389999999999,0.0
-80.5839,0.0
-80.5739,0.0
-80.56389999999999,0.0
-80.5539,0.0
-80.5439,0.0
-80.53389999999999,0.0
-80.5239,0.0
-80.51389999999999,0.0
-80.50389999999999,0.0
-80.4939,0.0
