,Mo_4dxy
-83.3039,4.722634576253898e-09
-83.2939,7.2986685078315e-09
-83.28389999999999,1.1142517490142898e-08
-83.2739,1.6866075746334892e-08
-83.26389999999999,2.514945234680079e-08
-83.25389999999999,3.741385128603899e-08
-83.2439,5.479000726041899e-08
-83.23389999999999,7.932538952542801e-08
-83.2239,1.1367507698080102e-07
-83.2139,1.61111928471804e-07
-83.20389999999999,2.2691163422654003e-07
-83.1939,3.1282172698701407e-07
-83.1839,4.313628511005599e-07
-83.17389999999999,5.8472623105242e-07
-83.1639,7.850920790205698e-07
-83.1539,1.04270409731589e-06
-83.14389999999999,1.37185884420423e-06
-83.1339,1.7839154324434699e-06
-83.12389999999999,2.2899478506135297e-06
-83.11389999999999,2.92362508336062e-06
-83.1039,3.6800202392621204e-06
-83.09389999999999,4.5795735808797e-06
-83.0839,5.642904252475001e-06
-83.0739,6.8696025210839016e-06
-83.06389999999999,8.300629337095402e-06
-83.0539,9.895146830853598e-06
-83.0439,1.16740091503813e-05
-83.03389999999999,1.36163548386152e-05
-83.0239,1.57323660215283e-05
-83.01389999999999,1.79703031990134e-05
-83.00389999999999,2.0301889581928595e-05
-82.9939,2.2694194786037994e-05
-82.98389999999999,2.5146390492169998e-05
-82.9739,2.7398205355166405e-05
-82.9639,2.9647048583628202e-05
-82.95389999999999,3.189244952773211e-05
-82.9439,3.3733847361684614e-05
-82.9339,3.53688710653153e-05
-82.92389999999999,3.659674010685181e-05
-82.9139,3.7617313872699996e-05
-82.9039,3.802831174403e-05
-82.89389999999999,3.8231663508665e-05
-82.8839,3.7924849358307e-05
-82.87389999999999,3.721058932164101e-05
-82.86389999999999,3.61866837990666e-05
-82.8539,3.47556529930678e-05
-82.84389999999999,3.311980753594201e-05
-82.8339,3.10755584574559e-05
-82.8239,2.882953648236161e-05
-82.81389999999999,2.6578262700535498e-05
-82.8039,2.43282675275359e-05
-82.7939,2.1873951831272405e-05
-82.78389999999999,1.94439568582446e-05
-82.7739,1.7132594836497602e-05
-82.76389999999999,1.4945154450215199e-05
-82.75389999999999,1.28903748695404e-05
-82.7439,1.09994583045506e-05
-82.73389999999999,9.282104976278796e-06
-82.7239,7.748804435810998e-06
-82.7139,6.3994144130881e-06
-82.70389999999999,5.2337512571458e-06
-82.6939,4.2321724151096004e-06
-82.6839,3.393730922619529e-06
-82.67389999999999,2.6781825308289395e-06
-82.6639,2.0955829217656798e-06
-82.6539,1.6222050480643197e-06
-82.64389999999999,1.2430512280558503e-06
-82.6339,9.414961991823e-07
-82.62389999999999,7.053551028850601e-07
-82.61389999999999,5.2337412571436e-07
-82.6039,3.8435126396327006e-07
-82.59389999999999,2.78056309197865e-07
-82.5839,1.9995164899577496e-07
-82.5739,1.4198873461075896e-07
-82.56389999999999,9.9770780142041e-08
-82.5539,6.930784123324801e-08
-82.5439,4.7636932782724e-08
-82.53389999999999,3.250586812015331e-08
-82.5239,2.1873851731240092e-08
-82.51389999999999,1.4515695923392299e-08
-82.50389999999999,9.547920947422797e-09
-82.4939,6.215355766228201e-09
-82.48389999999999,4.007318154464298e-09
-82.4739,2.5556477139051597e-09
-82.4639,1.6111192857180496e-09
-82.45389999999999,1.0058809376551604e-09
-82.4439,6.195057574846199e-10
-82.4339,3.7824528636124e-10
-82.42389999999999,2.28977573737056e-10
-82.4139,1.36572605298165e-10
-82.4039,8.075696029151803e-11
-82.39389999999999,4.722676616470399e-11
-82.3839,2.73945425485205e-11
-82.37389999999999,1.5620008387084504e-11
-82.36389999999999,8.832343599398804e-12
-82.3539,4.9477029555395996e-12
-82.34389999999999,2.739577439289009e-12
-82.3339,1.5026786713545699e-12
-82.3239,8.137150051453401e-13
-82.31389999999999,4.3750134284715005e-13
-82.3039,2.31042817350204e-13
-82.2939,1.21544954004223e-13
-82.28389999999999,6.3174180487016e-14
-82.2739,3.2405748010042294e-14
-82.26389999999999,1.64583168796133e-14
-82.25389999999999,8.2799270669949e-15
-82.2439,4.109455686404399e-15
-82.23389999999999,2.02292483195567e-15
-82.2239,9.8339199986278e-16
-82.2139,4.7430327970244e-16
-82.20389999999999,2.2490732740424395e-16
-82.1939,0.0
-82.1839,0.0
-82.17389999999999,0.0
-82.1639,0.0
-82.1539,0.0
-82.14389999999999,0.0
-82.1339,0.0
-82.12389999999999,0.0
-82.11389999999999,0.0
-82.1039,0.0
-82.09389999999999,0.0
-82.0839,0.0
-82.0739,0.0
-82.06389999999999,0.0
-82.0539,0.0
-82.0439,0.0
-82.03389999999999,0.0
-82.0239,0.0
-82.01389999999999,0.0
-82.00389999999999,0.0
-81.9939,0.0
-81.98389999999999,0.0
-81.9739,0.0
-81.9639,0.0
-81.95389999999999,0.0
-81.9439,0.0
-81.9339,0.0
-81.92389999999999,0.0
-81.9139,0.0
-81.9039,0.0
-81.89389999999999,0.0
-81.8839,0.0
-81.87389999999999,0.0
-81.86389999999999,0.0
-81.8539,0.0
-81.84389999999999,0.0
-81.8339,0.0
-81.8239,0.0
-81.81389999999999,0.0
-81.8039,0.0
-81.7939,0.0
-81.78389999999999,0.0
-81.7739,0.0
-81.76389999999999,0.0
-81.75389999999999,0.0
-81.7439,0.0
-81.73389999999999,0.0
-81.7239,0.0
-81.7139,0.0
-81.70389999999999,0.0
-81.6939,0.0
-81.6839,0.0
-81.67389999999999,0.0
-81.6639,0.0
-81.6539,0.0
-81.64389999999999,0.0
-81.6339,0.0
-81.62389999999999,0.0
-81.61389999999999,0.0
-81.6039,0.0
-81.59389999999999,0.0
-81.5839,0.0
-81.5739,0.0
-81.56389999999999,0.0
-81.5539,0.0
-81.5439,0.0
-81.53389999999999,0.0
-81.5239,0.0
-81.51389999999999,0.0
-81.50389999999999,0.0
-81.4939,0.0
-81.48389999999999,0.0
-81.4739,0.0
-81.4639,0.0
-81.45389999999999,0.0
-81.4439,0.0
-81.4339,0.0
-81.42389999999999,0.0
-81.4139,0.0
-81.4039,0.0
-81.39389999999999,0.0
-81.3839,0.0
-81.37389999999999,0.0
-81.36389999999999,0.0
-81.3539,0.0
-81.34389999999999,0.0
-81.3339,0.0
-81.3239,0.0
-81.31389999999999,0.0
-81.3039,0.0
-81.2939,0.0
-81.28389999999999,0.0
-81.2739,0.0
-81.26389999999999,0.0
-81.25389999999999,0.0
-81.2439,0.0
-81.23389999999999,0.0
-81.2239,0.0
-81.2139,0.0
-81.20389999999999,0.0
-81.1939,0.0
-81.1839,0.0
-81.17389999999999,0.0
-81.1639,0.0
-81.1539,0.0
-81.14389999999999,0.0
-81.1339,0.0
-81.12389999999999,0.0
-81.11389999999999,0.0
-81.1039,0.0
-81.09389999999999,0.0
-81.0839,0.0
-81.0739,0.0
-81.06389999999999,0.0
-81.0539,0.0
-81.0439,0.0
-81.03389999999999,0.0
-81.0239,0.0
-81.01389999999999,0.0
-81.00389999999999,0.0
-80.9939,0.0
-80.98389999999999,0.0
-80.9739,0.0
-80.9639,0.0
-80.95389999999999,0.0
-80.9439,0.0
-80.9339,0.0
-80.92389999999999,0.0
-80.9139,0.0
-80.9039,0.0
-80.89389999999999,0.0
-80.8839,0.0
-80.87389999999999,0.0
-80.86389999999999,0.0
-80.8539,0.0
-80.84389999999999,0.0
-80.8339,0.0
-80.8239,0.0
-80.81389999999999,0.0
-80.8039,0.0
-80.7939,0.0
-80.78389999999999,0.0
-80.7739,0.0
-80.76389999999999,0.0
-80.75389999999999,0.0
-80.7439,0.0
-80.73389999999999,0.0
-80.7239,0.0
-80.7139,0.0
-80.70389999999999,0.0
-80.6939,0.0
-80.6839,0.0
-80.67389999999999,0.0
-80.6639,0.0
-80.6539,0.0
-80.64389999999999,0.0
-80.6339,0.0
-80.62389999999999,0.0
-80.61389999999999,0.0
-80.6039,0.0
-80.59389999999999,0.0
-80.5839,0.0
-80.5739,0.0
-80.56389999999999,0.0
-80.5539,0.0
-80.5439,0.0
-80.53389999999999,0.0
-80.5239,0.0
-80.51389999999999,0.0
-80.50389999999999,0.0
-80.4939,0.0
-80.48389999999999,0.0
-80.4739,0.0
-80.4639,0.0
-80.45389999999999,0.0
-80.4439,0.0
-80.4339,0.0
-80.42389999999999,0.0
-80.4139,0.0
-80.4039,0.0
-80.39389999999999,0.0
-80.3839,0.0
-80.37389999999999,0.0
-80.36389999999999,0.0
-80.3539,0.0
-80.34389999999999,0.0
-80.3339,0.0
-80.3239,0.0
-80.31389999999999,0.0
-80.3039,0.0
-80.2939,0.0
-80.28389999999999,0.0
-80.2739,0.0
-80.26389999999999,0.0
-80.25389999999999,0.0
-80.2439,0.0
-80.23389999999999,0.0
-80.2239,0.0
-80.2139,0.0
-80.20389999999999,0.0
-80.1939,0.0
-80.1839,0.0
-80.17389999999999,0.0
-80.1639,0.0
-80.1539,0.0
-80.14389999999999,0.0
-80.1339,0.0
-80.12389999999999,0.0
-80.11389999999999,0.0
-80.1039,0.0
-80.09389999999999,0.0
-80.0839,0.0
-80.0739,0.0
-80.06389999999999,0.0
-80.0539,0.0
-80.0439,0.0
-80.03389999999999,0.0
-80.0239,0.0
-80.01389999999999,0.0
-80.00389999999999,0.0
-79.9939,0.0
-79.98389999999999,0.0
-79.9739,0.0
-79.9639,0.0
-79.95389999999999,0.0
-79.9439,0.0
-79.9339,0.0
-79.92389999999999,0.0
-79.9139,0.0
-79.9039,0.0
-79.89389999999999,0.0
-79.8839,0.0
-79.87389999999999,0.0
-79.86389999999999,0.0
-79.8539,0.0
-79.84389999999999,0.0
-79.8339,0.0
-79.8239,0.0
-79.81389999999999,0.0
-79.8039,0.0
-79.7939,0.0
-79.78389999999999,0.0
-79.7739,0.0
-79.76389999999999,0.0
-79.75389999999999,0.0
-79.7439,0.0
-79.73389999999999,0.0
-79.7239,0.0
-79.7139,0.0
-79.70389999999999,0.0
-79.6939,0.0
-79.6839,0.0
-79.67389999999999,0.0
-79.6639,0.0
-79.6539,0.0
-79.64389999999999,0.0
-79.6339,0.0
-79.62389999999999,0.0
-79.61389999999999,0.0
-79.6039,0.0
-79.59389999999999,0.0
-79.5839,0.0
-79.5739,0.0
-79.56389999999999,0.0
-79.5539,0.0
-79.5439,0.0
-79.53389999999999,0.0
-79.5239,0.0
-79.51389999999999,0.0
-79.50389999999999,0.0
-79.4939,0.0
-79.48389999999999,0.0
-79.4739,0.0
-79.4639,0.0
-79.45389999999999,0.0
-79.4439,0.0
-79.4339,0.0
-79.42389999999999,0.0
-79.4139,0.0
-79.4039,0.0
-79.39389999999999,0.0
-79.3839,0.0
-79.37389999999999,0.0
-79.36389999999999,0.0
-79.3539,0.0
-79.34389999999999,0.0
-79.3339,0.0
-79.3239,0.0
-79.31389999999999,0.0
-79.3039,0.0
-79.2939,0.0
-79.28389999999999,0.0
-79.2739,0.0
-79.26389999999999,0.0
-79.25389999999999,0.0
-79.2439,0.0
-79.23389999999999,0.0
-79.2239,0.0
-79.2139,0.0
-79.20389999999999,0.0
-79.1939,0.0
-79.1839,0.0
-79.17389999999999,0.0
-79.1639,0.0
-79.1539,0.0
-79.14389999999999,0.0
-79.1339,0.0
-79.12389999999999,0.0
-79.11389999999999,0.0
-79.1039,0.0
-79.09389999999999,0.0
-79.0839,0.0
-79.0739,0.0
-79.06389999999999,0.0
-79.0539,0.0
-79.0439,0.0
-79.03389999999999,0.0
-79.0239,0.0
-79.01389999999999,0.0
-79.00389999999999,0.0
-78.9939,0.0
-78.98389999999999,0.0
-78.9739,0.0
-78.9639,0.0
-78.95389999999999,0.0
-78.9439,0.0
-78.9339,0.0
-78.92389999999999,0.0
-78.9139,0.0
-78.9039,0.0
-78.89389999999999,0.0
-78.8839,0.0
-78.87389999999999,0.0
-78.86389999999999,0.0
-78.8539,0.0
-78.84389999999999,0.0
-78.8339,0.0
-78.8239,0.0
-78.81389999999999,0.0
-78.8039,0.0
-78.7939,0.0
-78.78389999999999,0.0
-78.7739,0.0
-78.76389999999999,0.0
-78.75389999999999,0.0
-78.7439,0.0
-78.73389999999999,0.0
-78.7239,0.0
-78.7139,0.0
-78.70389999999999,0.0
-78.6939,0.0
-78.6839,0.0
-78.67389999999999,0.0
-78.6639,0.0
-78.6539,0.0
-78.64389999999999,0.0
-78.6339,0.0
-78.62389999999999,0.0
-78.61389999999999,0.0
-78.6039,0.0
-78.59389999999999,0.0
-78.5839,0.0
-78.5739,0.0
-78.56389999999999,0.0
-78.5539,0.0
-78.5439,0.0
-78.53389999999999,0.0
-78.5239,0.0
-78.51389999999999,0.0
-78.50389999999999,0.0
-78.4939,0.0
-78.48389999999999,0.0
-78.4739,0.0
-78.4639,0.0
-78.45389999999999,0.0
-78.4439,0.0
-78.4339,0.0
-78.42389999999999,0.0
-78.4139,0.0
-78.4039,0.0
-78.39389999999999,0.0
-78.3839,0.0
-78.37389999999999,0.0
-78.36389999999999,0.0
-78.3539,0.0
-78.34389999999999,0.0
-78.3339,0.0
-78.3239,0.0
-78.31389999999999,0.0
-78.3039,0.0
-78.2939,0.0
-78.28389999999999,0.0
-78.2739,0.0
-78.26389999999999,0.0
-78.25389999999999,0.0
-78.2439,0.0
-78.23389999999999,0.0
-78.2239,0.0
-78.2139,0.0
-78.20389999999999,0.0
-78.1939,0.0
-78.1839,0.0
-78.17389999999999,0.0
-78.1639,0.0
-78.1539,0.0
-78.14389999999999,0.0
-78.1339,0.0
-78.12389999999999,0.0
-78.11389999999999,0.0
-78.1039,0.0
-78.09389999999999,0.0
-78.0839,0.0
-78.0739,0.0
-78.06389999999999,0.0
-78.0539,0.0
-78.0439,0.0
-78.03389999999999,0.0
-78.0239,0.0
-78.01389999999999,0.0
-78.00389999999999,0.0
-77.9939,0.0
-77.98389999999999,0.0
-77.9739,0.0
-77.9639,0.0
-77.95389999999999,0.0
-77.9439,0.0
-77.9339,0.0
-77.92389999999999,0.0
-77.9139,0.0
