,Mo_4dzy
-83.3039,1.31859927963887e-08
-83.2939,2.0370151465162e-08
-83.28389999999999,3.1208017602249994e-08
-83.2739,4.7169368523338e-08
-83.26389999999999,7.0521392808011e-08
-83.25389999999999,1.04609667884685e-07
-83.2439,1.5308464461195796e-07
-83.23389999999999,2.2186459004347e-07
-83.2239,3.1819697841367996e-07
-83.2139,4.5126795079139995e-07
-83.20389999999999,6.317288842768599e-07
-83.1939,8.766469553891e-07
-83.1839,1.2052517177546e-06
-83.17389999999999,1.6369001338277e-06
-83.1639,2.2022592440599e-06
-83.1539,2.9227744308423006e-06
-83.14389999999999,3.8411947339033e-06
-83.1339,4.990470159866701e-06
-83.12389999999999,6.4292558422935e-06
-83.11389999999999,8.164430153032699e-06
-83.1039,1.02874336657921e-05
-83.09389999999999,1.2807500700183801e-05
-83.0839,1.5777864008811706e-05
-83.0739,1.926744730519e-05
-83.06389999999999,2.3246882559909e-05
-83.0539,2.7696889603246e-05
-83.0439,3.261761808530999e-05
-83.03389999999999,3.810692553507499e-05
-83.0239,4.406580217140199e-05
-83.01389999999999,5.033212313499601e-05
-83.00389999999999,5.680315335146899e-05
-82.9939,6.357911729166901e-05
-82.98389999999999,7.031386074269e-05
-82.9739,7.6847303751411e-05
-82.9639,8.317371472426298e-05
-82.95389999999999,8.899249430026e-05
-82.9439,9.4294235547613e-05
-82.9339,9.8787002840964e-05
-82.92389999999999,0.000102359801060435
-82.9139,0.000105013111482354
-82.9039,0.00010654712797764998
-82.89389999999999,0.00010694965746383501
-82.8839,0.000106033595599975
-82.87389999999999,0.000104195136619671
-82.86389999999999,0.000101139205620257
-82.8539,9.736207423562499e-05
-82.84389999999999,9.2457978677161e-05
-82.8339,8.695083056618e-05
-82.8239,8.0928227667437e-05
-82.81389999999999,7.4599512071249e-05
-82.8039,6.786476564122501e-05
-82.7939,6.106880060119099e-05
-82.78389999999999,5.4355158672283e-05
-82.7739,4.7924331426105e-05
-82.76389999999999,4.180173448591e-05
-82.75389999999999,3.6105817631151004e-05
-82.7439,3.0779163344842e-05
-82.73389999999999,2.6003290146376e-05
-82.7239,2.1716918825673e-05
-82.7139,1.7920340213660996e-05
-82.70389999999999,1.4644290860219601e-05
-82.6939,1.18385406441337e-05
-82.6839,9.4808666812846e-06
-82.67389999999999,7.480804456869202e-06
-82.6639,5.862000711177701e-06
-82.6539,4.543302420437699e-06
-82.64389999999999,3.4759811219735003e-06
-82.6339,2.6330649811596998e-06
-82.62389999999999,1.9737098982942003e-06
-82.61389999999999,1.4644290760197601e-06
-82.6039,1.07365214251635e-06
-82.59389999999999,7.786839666831301e-07
-82.5839,5.599598447748799e-07
-82.5739,3.978005096074301e-07
-82.56389999999999,2.7881988488020996e-07
-82.5539,1.9429850507718002e-07
-82.5439,1.33381836087865e-07
-82.53389999999999,9.072463521802202e-08
-82.5239,6.104760029094798e-08
-82.51389999999999,4.0577238215748996e-08
-82.50389999999999,2.6778162108974996e-08
-82.4939,1.7430667425901992e-08
-82.48389999999999,1.1215950474009398e-08
-82.4739,7.1539660183147e-09
-82.4639,4.5127795099171995e-09
-82.45389999999999,2.8146066350803e-09
-82.4439,1.7309203594734e-09
-82.4339,1.0593139096761898e-09
-82.42389999999999,6.3987650279226e-10
-82.4139,3.8250435576538e-10
-82.4039,2.2634293519782002e-10
-82.39389999999999,1.3216233036642e-10
-82.3839,7.6437568962903e-11
-82.37389999999999,4.3759692847567993e-11
-82.36389999999999,2.4777867706167e-11
-82.3539,1.3848966477159198e-11
-82.34389999999999,7.6643787029036e-12
-82.3339,4.2065541669547e-12
-82.3239,2.279893814444899e-12
-82.31389999999999,1.2216132820317604e-12
-82.3039,6.480471465299401e-13
-82.2939,3.3984948816904994e-13
-82.28389999999999,1.7614996509745e-13
-82.2739,9.0624534106912e-14
-82.26389999999999,4.6067384865513e-14
-82.25389999999999,2.3126317729571002e-14
-82.2439,1.1511532528707901e-14
-82.23389999999999,5.661924490885399e-15
-82.2239,2.7554597601798004e-15
-82.2139,1.3246475497291902e-15
-82.20389999999999,6.3069373505035e-16
-82.1939,0.0
-82.1839,0.0
-82.17389999999999,0.0
-82.1639,0.0
-82.1539,0.0
-82.14389999999999,0.0
-82.1339,0.0
-82.12389999999999,0.0
-82.11389999999999,0.0
-82.1039,0.0
-82.09389999999999,0.0
-82.0839,0.0
-82.0739,0.0
-82.06389999999999,0.0
-82.0539,0.0
-82.0439,0.0
-82.03389999999999,0.0
-82.0239,0.0
-82.01389999999999,0.0
-82.00389999999999,0.0
-81.9939,0.0
-81.98389999999999,0.0
-81.9739,0.0
-81.9639,0.0
-81.95389999999999,0.0
-81.9439,0.0
-81.9339,0.0
-81.92389999999999,0.0
-81.9139,0.0
-81.9039,0.0
-81.89389999999999,0.0
-81.8839,0.0
-81.87389999999999,0.0
-81.86389999999999,0.0
-81.8539,0.0
-81.84389999999999,0.0
-81.8339,0.0
-81.8239,0.0
-81.81389999999999,0.0
-81.8039,0.0
-81.7939,0.0
-81.78389999999999,0.0
-81.7739,0.0
-81.76389999999999,0.0
-81.75389999999999,0.0
-81.7439,0.0
-81.73389999999999,0.0
-81.7239,0.0
-81.7139,0.0
-81.70389999999999,0.0
-81.6939,0.0
-81.6839,0.0
-81.67389999999999,0.0
-81.6639,0.0
-81.6539,0.0
-81.64389999999999,0.0
-81.6339,0.0
-81.62389999999999,0.0
-81.61389999999999,0.0
-81.6039,0.0
-81.59389999999999,0.0
-81.5839,0.0
-81.5739,0.0
-81.56389999999999,0.0
-81.5539,0.0
-81.5439,0.0
-81.53389999999999,0.0
-81.5239,0.0
-81.51389999999999,0.0
-81.50389999999999,0.0
-81.4939,0.0
-81.48389999999999,0.0
-81.4739,0.0
-81.4639,0.0
-81.45389999999999,0.0
-81.4439,0.0
-81.4339,0.0
-81.42389999999999,0.0
-81.4139,0.0
-81.4039,0.0
-81.39389999999999,0.0
-81.3839,0.0
-81.37389999999999,0.0
-81.36389999999999,0.0
-81.3539,0.0
-81.34389999999999,0.0
-81.3339,0.0
-81.3239,0.0
-81.31389999999999,0.0
-81.3039,0.0
-81.2939,0.0
-81.28389999999999,0.0
-81.2739,0.0
-81.26389999999999,0.0
-81.25389999999999,0.0
-81.2439,0.0
-81.23389999999999,0.0
-81.2239,0.0
-81.2139,0.0
-81.20389999999999,0.0
-81.1939,0.0
-81.1839,0.0
-81.17389999999999,0.0
-81.1639,0.0
-81.1539,0.0
-81.14389999999999,0.0
-81.1339,0.0
-81.12389999999999,0.0
-81.11389999999999,0.0
-81.1039,0.0
-81.09389999999999,0.0
-81.0839,0.0
-81.0739,0.0
-81.06389999999999,0.0
-81.0539,0.0
-81.0439,0.0
-81.03389999999999,0.0
-81.0239,0.0
-81.01389999999999,0.0
-81.00389999999999,0.0
-80.9939,0.0
-80.98389999999999,0.0
-80.9739,0.0
-80.9639,0.0
-80.95389999999999,0.0
-80.9439,0.0
-80.9339,0.0
-80.92389999999999,0.0
-80.9139,0.0
-80.9039,0.0
-80.89389999999999,0.0
-80.8839,0.0
-80.87389999999999,0.0
-80.86389999999999,0.0
-80.8539,0.0
-80.84389999999999,0.0
-80.8339,0.0
-80.8239,0.0
-80.81389999999999,0.0
-80.8039,0.0
-80.7939,0.0
-80.78389999999999,0.0
-80.7739,0.0
-80.76389999999999,0.0
-80.75389999999999,0.0
-80.7439,0.0
-80.73389999999999,0.0
-80.7239,0.0
-80.7139,0.0
-80.70389999999999,0.0
-80.6939,0.0
-80.6839,0.0
-80.67389999999999,0.0
-80.6639,0.0
-80.6539,0.0
-80.64389999999999,0.0
-80.6339,0.0
-80.62389999999999,0.0
-80.61389999999999,0.0
-80.6039,0.0
-80.59389999999999,0.0
-80.5839,0.0
-80.5739,0.0
-80.56389999999999,0.0
-80.5539,0.0
-80.5439,0.0
-80.53389999999999,0.0
-80.5239,0.0
-80.51389999999999,0.0
-80.50389999999999,0.0
-80.4939,0.0
-80.48389999999999,0.0
-80.4739,0.0
-80.4639,0.0
-80.45389999999999,0.0
-80.4439,0.0
-80.4339,0.0
-80.42389999999999,0.0
-80.4139,0.0
-80.4039,0.0
-80.39389999999999,0.0
-80.3839,0.0
-80.37389999999999,0.0
-80.36389999999999,0.0
-80.3539,0.0
-80.34389999999999,0.0
-80.3339,0.0
-80.3239,0.0
-80.31389999999999,0.0
-80.3039,0.0
-80.2939,0.0
-80.28389999999999,0.0
-80.2739,0.0
-80.26389999999999,0.0
-80.25389999999999,0.0
-80.2439,0.0
-80.23389999999999,0.0
-80.2239,0.0
-80.2139,0.0
-80.20389999999999,0.0
-80.1939,0.0
-80.1839,0.0
-80.17389999999999,0.0
-80.1639,0.0
-80.1539,0.0
-80.14389999999999,0.0
-80.1339,0.0
-80.12389999999999,0.0
-80.11389999999999,0.0
-80.1039,0.0
-80.09389999999999,0.0
-80.0839,0.0
-80.0739,0.0
-80.06389999999999,0.0
-80.0539,0.0
-80.0439,0.0
-80.03389999999999,0.0
-80.0239,0.0
-80.01389999999999,0.0
-80.00389999999999,0.0
-79.9939,0.0
-79.98389999999999,0.0
-79.9739,0.0
-79.9639,0.0
-79.95389999999999,0.0
-79.9439,0.0
-79.9339,0.0
-79.92389999999999,0.0
-79.9139,0.0
-79.9039,0.0
-79.89389999999999,0.0
-79.8839,0.0
-79.87389999999999,0.0
-79.86389999999999,0.0
-79.8539,0.0
-79.84389999999999,0.0
-79.8339,0.0
-79.8239,0.0
-79.81389999999999,0.0
-79.8039,0.0
-79.7939,0.0
-79.78389999999999,0.0
-79.7739,0.0
-79.76389999999999,0.0
