,Pd_3py
-83.3039,2.94e-15
-83.2939,4.55e-15
-83.28389999999999,6.96e-15
-83.2739,1.05e-14
-83.26389999999999,1.58e-14
-83.25389999999999,2.33e-14
-83.2439,3.42e-14
-83.23389999999999,4.95e-14
-83.2239,7.1e-14
-83.2139,1.01e-13
-83.20389999999999,1.41e-13
-83.1939,1.96e-13
-83.1839,2.69e-13
-83.17389999999999,3.65e-13
-83.1639,4.9e-13
-83.1539,6.51e-13
-83.14389999999999,8.56e-13
-83.1339,1.11e-12
-83.12389999999999,1.43e-12
-83.11389999999999,1.82e-12
-83.1039,2.3e-12
-83.09389999999999,2.86e-12
-83.0839,3.52e-12
-83.0739,4.29e-12
-83.06389999999999,5.18e-12
-83.0539,6.18e-12
-83.0439,7.29e-12
-83.03389999999999,8.51e-12
-83.0239,9.82e-12
-83.01389999999999,1.12e-11
-83.00389999999999,1.27e-11
-82.9939,1.42e-11
-82.98389999999999,1.57e-11
-82.9739,1.71e-11
-82.9639,1.86e-11
-82.95389999999999,1.99e-11
-82.9439,2.1e-11
-82.9339,2.21e-11
-82.92389999999999,2.29e-11
-82.9139,2.34e-11
-82.9039,2.38e-11
-82.89389999999999,2.39e-11
-82.8839,2.37e-11
-82.87389999999999,2.33e-11
-82.86389999999999,2.26e-11
-82.8539,2.17e-11
-82.84389999999999,2.06e-11
-82.8339,1.94e-11
-82.8239,1.81e-11
-82.81389999999999,1.66e-11
-82.8039,1.51e-11
-82.7939,1.36e-11
-82.78389999999999,1.21e-11
-82.7739,1.07e-11
-82.76389999999999,9.33e-12
-82.75389999999999,8.05e-12
-82.7439,6.87e-12
-82.73389999999999,5.8e-12
-82.7239,4.84e-12
-82.7139,4e-12
-82.70389999999999,3.27e-12
-82.6939,2.64e-12
-82.6839,2.11e-12
-82.67389999999999,1.67e-12
-82.6639,1.31e-12
-82.6539,1.01e-12
-82.64389999999999,7.76e-13
-82.6339,5.88e-13
-82.62389999999999,4.41e-13
-82.61389999999999,3.27e-13
-82.6039,2.4e-13
-82.59389999999999,1.74e-13
-82.5839,1.25e-13
-82.5739,8.87e-14
-82.56389999999999,6.23e-14
-82.5539,4.33e-14
-82.5439,2.98e-14
-82.53389999999999,2.02e-14
-82.5239,1.36e-14
-82.51389999999999,9.06e-15
-82.50389999999999,5.97e-15
-82.4939,3.89e-15
-82.48389999999999,2.5e-15
-82.4739,1.6e-15
