,S_1s
-83.3039,4.910155540825053e-07
-83.2939,7.586631024268714e-07
-83.28389999999999,1.1571370705192525e-06
-83.2739,1.7508148930470096e-06
-83.26389999999999,2.62614798836859e-06
-83.25389999999999,3.883926738818832e-06
-83.2439,5.695020564499909e-06
-83.23389999999999,8.250755658493484e-06
-83.2239,1.1872763602726161e-05
-83.2139,1.6803096853918025e-05
-83.20389999999999,2.3544407921456833e-05
-83.1939,3.260090988629277e-05
-83.1839,4.4775542906610636e-05
-83.17389999999999,6.087426355668157e-05
-83.1639,8.170244059674493e-05
-83.1539,0.00010866805263091914
-83.14389999999999,0.00014287681777652847
-83.1339,0.00018614194814547976
-83.12389999999999,0.00023846872227740014
-83.11389999999999,0.0003038713520933312
-83.1039,0.00038235327302898407
-83.09389999999999,0.0004769308937181208
-83.0839,0.0005876135653389907
-83.0739,0.0007154008594516158
-83.06389999999999,0.0008633098405660812
-83.0539,0.0010263316728867347
-83.0439,0.001217472891022494
-83.03389999999999,0.0014187467852564658
-83.0239,0.0016400562249515322
-83.01389999999999,0.0018715073741142538
-83.00389999999999,0.0021129760599791973
-82.9939,0.0023645205109055064
-82.98389999999999,0.0026160630633781257
-82.9739,0.002857597162523093
-82.9639,0.0030890552750991525
-82.95389999999999,0.0033103587502630125
-82.9439,0.0035115648167751137
-82.9339,0.0036725924790967676
-82.92389999999999,0.0038134406250908115
-82.9139,0.0039040412581449525
-82.9039,0.0039643612333970825
-82.89389999999999,0.003974486268383375
-82.8839,0.003944295962219317
-82.87389999999999,0.0038738448919154963
-82.86389999999999,0.003763180143673791
-82.8539,0.0036222472509144913
-82.84389999999999,0.0034411326916117956
-82.8339,0.003229914761341107
-82.8239,0.0030085152928159575
-82.81389999999999,0.0027670143899391677
-82.8039,0.002525535212658861
-82.7939,0.002273987367112151
-82.78389999999999,0.0020224531434019487
-82.7739,0.0017809869168610353
-82.76389999999999,0.001559542449949883
-82.75389999999999,0.0013382520404142733
-82.7439,0.0011470420712524861
-82.73389999999999,0.0009659446503921907
-82.7239,0.0008069610511472282
-82.7139,0.0006670989044071835
-82.70389999999999,0.0005443496938727661
-82.6939,0.0004407088929046766
-82.6839,0.00035216466478513647
-82.67389999999999,0.00027871657732451613
-82.6639,0.00021834025498230746
-82.6539,0.00016903914084140357
-82.64389999999999,0.0001297955059782904
-82.6339,9.800266550399538e-05
-82.62389999999999,7.345164846556713e-05
-82.61389999999999,5.44349692772645e-05
-82.6039,3.994552815825893e-05
-82.59389999999999,2.8978507746893717e-05
-82.5839,2.0827961888349078e-05
-82.5739,1.4790965447057673e-05
-82.56389999999999,1.0363839444831294e-05
-82.5539,7.214406124216523e-06
-82.5439,4.96051545637876e-06
-82.53389999999999,3.3707723146617323e-06
-82.5239,2.2739672039960077e-06
-82.51389999999999,1.5092821149693583e-06
-82.50389999999999,9.94115652303718e-07
-82.4939,6.479842983026447e-07
-82.48389999999999,4.1756922539975926e-07
-82.4739,2.6563708809057976e-07
-82.4639,1.680309995704006e-07
-82.45389999999999,1.0464340534819288e-07
-82.4439,6.459718367831719e-08
-82.4339,3.9442252598653464e-08
-82.42389999999999,2.3846120071156253e-08
-82.4139,1.4187544635955213e-08
-82.4039,8.401706425216201e-09
-82.39389999999999,4.910199926869616e-09
-82.3839,2.8374676704030072e-09
-82.37389999999999,1.629974487021994e-09
-82.36389999999999,9.196589329911545e-10
-82.3539,5.151688772448089e-10
-82.34389999999999,2.8575294191890396e-10
-82.3339,1.55961764985357e-10
