,S_2px
-83.3039,2.5855392096301814e-08
-83.2939,3.9996206698437596e-08
-83.28389999999999,6.112250459653726e-08
-83.2739,9.250384027553894e-08
-83.26389999999999,1.3834824966333307e-07
-83.25389999999999,2.0500478941099902e-07
-83.2439,3.001677512773601e-07
-83.23389999999999,4.344284279212538e-07
-83.2239,6.234160448971175e-07
-83.2139,8.8361528968718e-07
-83.20389999999999,1.2392760406788408e-06
-83.1939,1.7198194461393798e-06
-83.1839,2.359701005562661e-06
-83.17389999999999,3.2038346133637602e-06
-83.1639,4.3092678092228704e-06
-83.1539,5.724572217646462e-06
-83.14389999999999,7.516527162575292e-06
-83.1339,9.7777688114362e-06
-83.12389999999999,1.2575669342372703e-05
-83.11389999999999,1.6029131173376904e-05
-83.1039,2.0153551587390595e-05
-83.09389999999999,2.5115291033511512e-05
-83.0839,3.095120061671601e-05
-83.0739,3.771005723013412e-05
-83.06389999999999,4.553336931004782e-05
-83.0539,5.4211328341058105e-05
-83.0439,6.403433556816567e-05
-83.03389999999999,7.468184144310036e-05
-83.0239,8.622974138958102e-05
-83.01389999999999,9.853557249309795e-05
-83.00389999999999,0.00011132591568819696
-82.9939,0.00012452302626151496
-82.98389999999999,0.00013763140531492993
-82.9739,0.000150654049995596
-82.9639,0.00016296211153255904
-82.95389999999999,0.00017445492992553495
-82.9439,0.00018491101270196294
-82.9339,0.00019362532585274299
-82.92389999999999,0.00020069405192089902
-82.9139,0.000205726272063714
-82.9039,0.0002087952535432899
-82.89389999999999,0.00020951645345084003
-82.8839,0.00020789401401598696
-82.87389999999999,0.00020418269019494006
-82.86389999999999,0.0001984461393257769
-82.8539,0.00019064542325114494
-82.84389999999999,0.00018122292349583604
-82.8339,0.00017034170378715
-82.8239,0.0001584509096856439
-82.81389999999999,0.000145836065153249
-82.8039,0.00013276998685230002
-82.7939,0.00011969171688485796
-82.78389999999999,0.000106666799535318
-82.7739,9.393095194397298e-05
-82.76389999999999,8.192177116646695e-05
-82.75389999999999,7.066082278756263e-05
-82.7439,6.03422407756713e-05
-82.73389999999999,5.0849273948051236e-05
-82.7239,4.2501100904342904e-05
-82.7139,3.5096800530775096e-05
-82.70389999999999,2.8697242625674393e-05
-82.6939,2.320795149794729e-05
-82.6839,1.8551902250991302e-05
-82.67389999999999,1.4675869415352399e-05
-82.6639,1.1477467859423595e-05
-82.6539,8.8976053582372e-06
-82.64389999999999,6.8067776976887586e-06
-82.6339,5.1686320697854e-06
-82.62389999999999,3.876470734014989e-06
-82.61389999999999,2.869404160557139e-06
-82.6039,2.1054017753439906e-06
-82.59389999999999,1.5260602968518495e-06
-82.5839,1.0962213089745205e-06
-82.5739,7.788059257948197e-07
-82.56389999999999,5.46727272913127e-07
-82.5539,3.8026718402177897e-07
-82.5439,2.6120034980756707e-07
-82.53389999999999,1.7773678426191194e-07
-82.5239,1.1967946446420805e-07
-82.51389999999999,7.959327374919508e-08
-82.50389999999999,5.2364330802426926e-08
-82.4939,3.41501483439635e-08
-82.48389999999999,2.1988546768056608e-08
-82.4739,1.4019318737527102e-08
-82.4639,8.836154007985299e-09
-82.45389999999999,5.512280559022818e-09
-82.4439,3.400765029412359e-09
-82.4339,2.0767149816917694e-09
-82.42389999999999,1.2548558457463396e-09
-82.4139,7.484640905823359e-10
-82.4039,4.432391396664432e-10
-82.39389999999999,2.5885410581753184e-10
-82.3839,1.496304371236941e-10
-82.37389999999999,8.561399676538799e-11
-82.36389999999999,4.8487549159106296e-11
-82.3539,2.7146885908625697e-11
-82.34389999999999,1.50446277029273e-11
-82.3339,8.236196010720041e-12
-82.3239,4.465203363397882e-12
-82.31389999999999,2.3925951850545396e-12
-82.3039,1.2695498662068909e-12
-82.2939,6.664155422703482e-13
-82.28389999999999,3.4533338328431494e-13
-82.2739,1.7753665314979e-13
-82.26389999999999,9.022873745498395e-14
-82.25389999999999,4.528997094308761e-14
-82.2439,2.25520646202268e-14
-82.23389999999999,1.1086359773711892e-14
-82.2239,5.390470690128476e-15
-82.2139,2.5976476835628602e-15
-82.20389999999999,1.2358267878281896e-15
-82.1939,0.0
-82.1839,0.0
-82.17389999999999,0.0
-82.1639,0.0
-82.1539,0.0
-82.14389999999999,0.0
-82.1339,0.0
-82.12389999999999,0.0
-82.11389999999999,0.0
-82.1039,0.0
-82.09389999999999,0.0
-82.0839,0.0
-82.0739,0.0
-82.06389999999999,0.0
-82.0539,0.0
-82.0439,0.0
-82.03389999999999,0.0
-82.0239,0.0
-82.01389999999999,0.0
-82.00389999999999,0.0
-81.9939,0.0
-81.98389999999999,0.0
-81.9739,0.0
-81.9639,0.0
-81.95389999999999,0.0
-81.9439,0.0
-81.9339,0.0
-81.92389999999999,0.0
-81.9139,0.0
-81.9039,0.0
-81.89389999999999,0.0
-81.8839,0.0
-81.87389999999999,0.0
-81.86389999999999,0.0
-81.8539,0.0
-81.84389999999999,0.0
-81.8339,0.0
-81.8239,0.0
-81.81389999999999,0.0
-81.8039,0.0
-81.7939,0.0
-81.78389999999999,0.0
-81.7739,0.0
-81.76389999999999,0.0
-81.75389999999999,0.0
-81.7439,0.0
-81.73389999999999,0.0
-81.7239,0.0
-81.7139,0.0
-81.70389999999999,0.0
-81.6939,0.0
-81.6839,0.0
-81.67389999999999,0.0
-81.6639,0.0
-81.6539,0.0
-81.64389999999999,0.0
-81.6339,0.0
-81.62389999999999,0.0
-81.61389999999999,0.0
-81.6039,0.0
-81.59389999999999,0.0
-81.5839,0.0
-81.5739,0.0
-81.56389999999999,0.0
-81.5539,0.0
-81.5439,0.0
-81.53389999999999,0.0
-81.5239,0.0
-81.51389999999999,0.0
-81.50389999999999,0.0
-81.4939,0.0
-81.48389999999999,0.0
-81.4739,0.0
-81.4639,0.0
-81.45389999999999,0.0
-81.4439,0.0
-81.4339,0.0
-81.42389999999999,0.0
-81.4139,0.0
-81.4039,0.0
-81.39389999999999,0.0
-81.3839,0.0
-81.37389999999999,0.0
-81.36389999999999,0.0
-81.3539,0.0
-81.34389999999999,0.0
-81.3339,0.0
-81.3239,0.0
-81.31389999999999,0.0
-81.3039,0.0
-81.2939,0.0
-81.28389999999999,0.0
-81.2739,0.0
-81.26389999999999,0.0
-81.25389999999999,0.0
-81.2439,0.0
-81.23389999999999,0.0
-81.2239,0.0
-81.2139,0.0
-81.20389999999999,0.0
-81.1939,0.0
-81.1839,0.0
-81.17389999999999,0.0
-81.1639,0.0
-81.1539,0.0
-81.14389999999999,0.0
-81.1339,0.0
-81.12389999999999,0.0
-81.11389999999999,0.0
-81.1039,0.0
-81.09389999999999,0.0
-81.0839,0.0
-81.0739,0.0
-81.06389999999999,0.0
-81.0539,0.0
-81.0439,0.0
-81.03389999999999,0.0
-81.0239,0.0
-81.01389999999999,0.0
-81.00389999999999,0.0
-80.9939,0.0
-80.98389999999999,0.0
-80.9739,0.0
-80.9639,0.0
-80.95389999999999,0.0
-80.9439,0.0
-80.9339,0.0
-80.92389999999999,0.0
-80.9139,0.0
-80.9039,0.0
-80.89389999999999,0.0
-80.8839,0.0
-80.87389999999999,0.0
-80.86389999999999,0.0
-80.8539,0.0
-80.84389999999999,0.0
-80.8339,0.0
-80.8239,0.0
-80.81389999999999,0.0
-80.8039,0.0
-80.7939,0.0
-80.78389999999999,0.0
-80.7739,0.0
-80.76389999999999,0.0
-80.75389999999999,0.0
-80.7439,0.0
-80.73389999999999,0.0
-80.7239,0.0
-80.7139,0.0
-80.70389999999999,0.0
-80.6939,0.0
-80.6839,0.0
-80.67389999999999,0.0
-80.6639,0.0
-80.6539,0.0
-80.64389999999999,0.0
-80.6339,0.0
-80.62389999999999,0.0
-80.61389999999999,0.0
-80.6039,0.0
-80.59389999999999,0.0
-80.5839,0.0
-80.5739,0.0
-80.56389999999999,0.0
-80.5539,0.0
-80.5439,0.0
-80.53389999999999,0.0
-80.5239,0.0
-80.51389999999999,0.0
-80.50389999999999,0.0
-80.4939,0.0
-80.48389999999999,0.0
-80.4739,0.0
-80.4639,0.0
-80.45389999999999,0.0
-80.4439,0.0
-80.4339,0.0
-80.42389999999999,0.0
-80.4139,0.0
-80.4039,0.0
-80.39389999999999,0.0
-80.3839,0.0
-80.37389999999999,0.0
-80.36389999999999,0.0
-80.3539,0.0
-80.34389999999999,0.0
-80.3339,0.0
-80.3239,0.0
-80.31389999999999,0.0
-80.3039,0.0
-80.2939,0.0
-80.28389999999999,0.0
-80.2739,0.0
-80.26389999999999,0.0
-80.25389999999999,0.0
-80.2439,0.0
-80.23389999999999,0.0
-80.2239,0.0
-80.2139,0.0
-80.20389999999999,0.0
-80.1939,0.0
-80.1839,0.0
-80.17389999999999,0.0
-80.1639,0.0
-80.1539,0.0
-80.14389999999999,0.0
-80.1339,0.0
-80.12389999999999,0.0
-80.11389999999999,0.0
-80.1039,0.0
-80.09389999999999,0.0
-80.0839,0.0
-80.0739,0.0
-80.06389999999999,0.0
-80.0539,0.0
-80.0439,0.0
-80.03389999999999,0.0
-80.0239,0.0
-80.01389999999999,0.0
-80.00389999999999,0.0
-79.9939,0.0
-79.98389999999999,0.0
-79.9739,0.0
-79.9639,0.0
-79.95389999999999,0.0
-79.9439,0.0
-79.9339,0.0
-79.92389999999999,0.0
-79.9139,0.0
-79.9039,0.0
-79.89389999999999,0.0
-79.8839,0.0
-79.87389999999999,0.0
-79.86389999999999,0.0
-79.8539,0.0
-79.84389999999999,0.0
-79.8339,0.0
-79.8239,0.0
-79.81389999999999,0.0
-79.8039,0.0
-79.7939,0.0
-79.78389999999999,0.0
-79.7739,0.0
-79.76389999999999,0.0
-79.75389999999999,0.0
-79.7439,0.0
-79.73389999999999,0.0
-79.7239,0.0
-79.7139,0.0
-79.70389999999999,0.0
-79.6939,0.0
-79.6839,0.0
-79.67389999999999,0.0
-79.6639,0.0
-79.6539,0.0
-79.64389999999999,0.0
-79.6339,0.0
-79.62389999999999,0.0
-79.61389999999999,0.0
-79.6039,0.0
-79.59389999999999,0.0
-79.5839,0.0
-79.5739,0.0
-79.56389999999999,0.0
-79.5539,0.0
-79.5439,0.0
-79.53389999999999,0.0
-79.5239,0.0
-79.51389999999999,0.0
-79.50389999999999,0.0
-79.4939,0.0
-79.48389999999999,0.0
-79.4739,0.0
-79.4639,0.0
-79.45389999999999,0.0
-79.4439,0.0
-79.4339,0.0
-79.42389999999999,0.0
-79.4139,0.0
-79.4039,0.0
-79.39389999999999,0.0
-79.3839,0.0
-79.37389999999999,0.0
-79.36389999999999,0.0
-79.3539,0.0
-79.34389999999999,0.0
-79.3339,0.0
-79.3239,0.0
-79.31389999999999,0.0
-79.3039,0.0
-79.2939,0.0
-79.28389999999999,0.0
-79.2739,0.0
-79.26389999999999,0.0
-79.25389999999999,0.0
-79.2439,0.0
-79.23389999999999,0.0
-79.2239,0.0
-79.2139,0.0
-79.20389999999999,0.0
-79.1939,0.0
-79.1839,0.0
-79.17389999999999,0.0
-79.1639,0.0
-79.1539,0.0
-79.14389999999999,0.0
-79.1339,0.0
-79.12389999999999,0.0
-79.11389999999999,0.0
-79.1039,0.0
-79.09389999999999,0.0
-79.0839,0.0
-79.0739,0.0
-79.06389999999999,0.0
-79.0539,0.0
-79.0439,0.0
-79.03389999999999,0.0
-79.0239,0.0
-79.01389999999999,0.0
-79.00389999999999,0.0
-78.9939,0.0
-78.98389999999999,0.0
-78.9739,0.0
-78.9639,0.0
-78.95389999999999,0.0
-78.9439,0.0
-78.9339,0.0
-78.92389999999999,0.0
-78.9139,0.0
-78.9039,0.0
-78.89389999999999,0.0
-78.8839,0.0
-78.87389999999999,0.0
-78.86389999999999,0.0
-78.8539,0.0
-78.84389999999999,0.0
-78.8339,0.0
-78.8239,0.0
-78.81389999999999,0.0
-78.8039,0.0
-78.7939,0.0
-78.78389999999999,0.0
-78.7739,0.0
-78.76389999999999,0.0
-78.75389999999999,0.0
-78.7439,0.0
-78.73389999999999,0.0
-78.7239,0.0
-78.7139,0.0
-78.70389999999999,0.0
-78.6939,0.0
-78.6839,0.0
-78.67389999999999,0.0
-78.6639,0.0
-78.6539,0.0
-78.64389999999999,0.0
-78.6339,0.0
-78.62389999999999,0.0
-78.61389999999999,0.0
-78.6039,0.0
-78.59389999999999,0.0
-78.5839,0.0
-78.5739,0.0
-78.56389999999999,0.0
-78.5539,0.0
-78.5439,0.0
-78.53389999999999,0.0
-78.5239,0.0
-78.51389999999999,0.0
-78.50389999999999,0.0
-78.4939,0.0
-78.48389999999999,0.0
-78.4739,0.0
-78.4639,0.0
-78.45389999999999,0.0
-78.4439,0.0
-78.4339,0.0
-78.42389999999999,0.0
-78.4139,0.0
-78.4039,0.0
-78.39389999999999,0.0
-78.3839,0.0
-78.37389999999999,0.0
-78.36389999999999,0.0
-78.3539,0.0
-78.34389999999999,0.0
-78.3339,0.0
-78.3239,0.0
-78.31389999999999,0.0
-78.3039,0.0
-78.2939,0.0
-78.28389999999999,0.0
-78.2739,0.0
-78.26389999999999,0.0
-78.25389999999999,0.0
-78.2439,0.0
-78.23389999999999,0.0
-78.2239,0.0
-78.2139,0.0
-78.20389999999999,0.0
-78.1939,0.0
-78.1839,0.0
-78.17389999999999,0.0
-78.1639,0.0
-78.1539,0.0
-78.14389999999999,0.0
-78.1339,0.0
-78.12389999999999,0.0
-78.11389999999999,0.0
-78.1039,0.0
-78.09389999999999,0.0
-78.0839,0.0
-78.0739,0.0
-78.06389999999999,0.0
-78.0539,0.0
-78.0439,0.0
-78.03389999999999,0.0
-78.0239,0.0
-78.01389999999999,0.0
-78.00389999999999,0.0
-77.9939,0.0
-77.98389999999999,0.0
-77.9739,0.0
-77.9639,0.0
-77.95389999999999,0.0
-77.9439,0.0
-77.9339,0.0
-77.92389999999999,0.0
-77.9139,0.0
-77.9039,0.0
-77.89389999999999,0.0
-77.8839,0.0
-77.87389999999999,0.0
-77.86389999999999,0.0
-77.8539,0.0
-77.84389999999999,0.0
-77.8339,0.0
-77.8239,0.0
-77.81389999999999,0.0
-77.8039,0.0
-77.7939,0.0
-77.78389999999999,0.0
-77.7739,0.0
-77.76389999999999,0.0
-77.75389999999999,0.0
-77.7439,0.0
-77.73389999999999,0.0
-77.7239,0.0
-77.7139,0.0
-77.70389999999999,0.0
-77.6939,0.0
-77.6839,0.0
-77.67389999999999,0.0
-77.6639,0.0
-77.6539,0.0
-77.64389999999999,0.0
-77.6339,0.0
-77.62389999999999,0.0
-77.61389999999999,0.0
-77.6039,0.0
-77.59389999999999,0.0
-77.5839,0.0
-77.5739,0.0
-77.56389999999999,0.0
-77.5539,0.0
-77.5439,0.0
-77.53389999999999,0.0
-77.5239,0.0
-77.51389999999999,0.0
-77.50389999999999,0.0
-77.4939,0.0
-77.48389999999999,0.0
-77.4739,0.0
-77.4639,0.0
-77.45389999999999,0.0
-77.4439,0.0
-77.4339,0.0
-77.42389999999999,0.0
-77.4139,0.0
-77.4039,0.0
-77.39389999999999,0.0
-77.3839,0.0
-77.37389999999999,0.0
-77.36389999999999,0.0
-77.3539,0.0
-77.34389999999999,0.0
-77.3339,0.0
-77.3239,0.0
-77.31389999999999,0.0
-77.3039,0.0
-77.2939,0.0
-77.28389999999999,0.0
-77.2739,0.0
-77.26389999999999,0.0
-77.25389999999999,0.0
-77.2439,0.0
-77.23389999999999,0.0
-77.2239,0.0
-77.2139,0.0
-77.20389999999999,0.0
-77.1939,0.0
-77.1839,0.0
-77.17389999999999,0.0
-77.1639,0.0
-77.1539,0.0
-77.14389999999999,0.0
-77.1339,0.0
-77.12389999999999,0.0
-77.11389999999999,0.0
-77.1039,0.0
-77.09389999999999,0.0
-77.0839,0.0
-77.0739,0.0
-77.06389999999999,0.0
-77.0539,0.0
-77.0439,0.0
-77.03389999999999,0.0
-77.0239,0.0
-77.01389999999999,0.0
-77.00389999999999,0.0
-76.9939,0.0
-76.98389999999999,0.0
-76.9739,0.0
-76.9639,0.0
-76.95389999999999,0.0
-76.9439,0.0
-76.9339,0.0
-76.92389999999999,0.0
-76.9139,0.0
-76.9039,0.0
-76.89389999999999,0.0
-76.8839,0.0
-76.87389999999999,0.0
-76.86389999999999,0.0
-76.8539,0.0
-76.84389999999999,0.0
-76.8339,0.0
-76.8239,0.0
-76.81389999999999,0.0
-76.8039,0.0
-76.7939,0.0
-76.78389999999999,0.0
-76.7739,0.0
-76.76389999999999,0.0
-76.75389999999999,0.0
-76.7439,0.0
-76.73389999999999,0.0
-76.7239,0.0
-76.7139,0.0
-76.70389999999999,0.0
-76.6939,0.0
-76.6839,0.0
-76.67389999999999,0.0
-76.6639,0.0
-76.6539,0.0
-76.64389999999999,0.0
-76.6339,0.0
-76.62389999999999,0.0
-76.61389999999999,0.0
-76.6039,0.0
-76.59389999999999,0.0
-76.5839,0.0
-76.5739,0.0
-76.56389999999999,0.0
-76.5539,0.0
-76.5439,0.0
-76.53389999999999,0.0
-76.5239,0.0
-76.51389999999999,0.0
-76.50389999999999,0.0
-76.4939,0.0
-76.48389999999999,0.0
-76.4739,0.0
-76.4639,0.0
-76.45389999999999,0.0
-76.4439,0.0
-76.4339,0.0
-76.42389999999999,0.0
-76.4139,0.0
-76.4039,0.0
-76.39389999999999,0.0
-76.3839,0.0
-76.37389999999999,0.0
-76.36389999999999,0.0
-76.3539,0.0
-76.34389999999999,0.0
-76.3339,0.0
-76.3239,0.0
-76.31389999999999,0.0
-76.3039,0.0
-76.2939,0.0
