,Mo_1s
-62.526399999999995,0.0008360000000000002
-62.516400000000004,0.001322
-62.5064,0.002074
-62.496399999999994,0.0032199999999999998
-62.4864,0.00494
-62.4764,0.0075
-62.46639999999999,0.01128
-62.4564,0.01677
-62.4464,0.024689999999999997
-62.436400000000006,0.036000000000000004
-62.4264,0.0518
-62.416399999999996,0.07390000000000001
-62.406400000000005,0.1042
-62.3964,0.1455
-62.386399999999995,0.201
-62.376400000000004,0.2747
-62.3664,0.371
-62.356399999999994,0.497
-62.3464,0.659
-62.3364,0.8639999999999999
-62.32639999999999,1.119
-62.3164,1.435
-62.3064,1.8219999999999998
-62.296400000000006,2.289
-62.2864,2.846
-62.276399999999995,3.5
-62.266400000000004,4.26
-62.2564,5.12
-62.246399999999994,6.109999999999999
-62.2364,7.210000000000001
-62.2264,8.399999999999999
-62.21639999999999,9.700000000000001
-62.2064,11.07
-62.1964,12.510000000000002
-62.186400000000006,13.99
-62.1764,15.48
-62.166399999999996,16.939999999999998
-62.156400000000005,18.35
-62.1464,19.66
-62.136399999999995,20.86
-62.126400000000004,21.89
-62.1164,22.72
-62.106399999999994,23.34
-62.0964,23.72
-62.0864,23.85
-62.07639999999999,23.73
-62.0664,23.36
-62.0564,22.77
-62.046400000000006,21.94
-62.0364,20.93
-62.026399999999995,19.75
-62.016400000000004,18.44
-62.0064,17.03
-61.996399999999994,15.57
-61.9864,14.080000000000002
-61.9764,12.59
-61.96639999999999,11.15
-61.9564,9.77
-61.9464,8.46
-61.936400000000006,7.25
-61.9264,6.16
-61.916399999999996,5.17
-61.906400000000005,4.289999999999999
-61.8964,3.5299999999999994
-61.886399999999995,2.8689999999999998
-61.876400000000004,2.307
-61.8664,1.8359999999999999
-61.856399999999994,1.4449999999999998
-61.8464,1.127
-61.8364,0.8679999999999999
-61.82639999999999,0.662
-61.8164,0.5
-61.8064,0.373
-61.796400000000006,0.2755
-61.7864,0.20129999999999998
-61.776399999999995,0.1456
-61.766400000000004,0.1041
-61.7564,0.0737
-61.746399999999994,0.05159999999999999
-61.7364,0.035699999999999996
-61.7264,0.02451
-61.71639999999999,0.01662
-61.7064,0.01116
-61.6964,0.00741
-61.686400000000006,0.00486
-61.6764,0.0031599999999999996
-61.666399999999996,0.002029
-61.656400000000005,0.001291
-61.6464,0.000812
-61.636399999999995,0.000506
-61.626400000000004,0.00031099999999999997
-61.6164,0.0001898
-61.606399999999994,0.00011439999999999999
-61.5964,6.83e-05
-61.5864,4.02e-05
-61.57639999999999,2.35e-05
-61.5664,1.357e-05
-61.5564,7.76e-06
-61.546400000000006,4.38e-06
-61.5364,2.452e-06
-61.526399999999995,1.357e-06
-61.516400000000004,7.42e-07
-61.5064,4.0199999999999997e-07
-61.496399999999994,2.155e-07
-61.4864,1.142e-07
-61.4764,5.98e-08
-61.46639999999999,3.1e-08
-61.4564,1.595e-08
-61.4464,8.09e-09
-61.436400000000006,4.07e-09
-61.4264,2.022e-09
-61.416399999999996,9.899999999999999e-10
-61.406400000000005,4.82e-10
-61.3964,2.0369999999999998e-10
-61.386399999999995,9.720000000000001e-11
-61.376400000000004,0.0
-61.3664,0.0
-61.356399999999994,0.0
-61.3464,0.0
