,Mo_4dx2-y2
-62.526399999999995,3.86e-07
-62.516400000000004,6.19e-07
-62.5064,9.81e-07
-62.496399999999994,1.541e-06
-62.4864,2.393e-06
-62.4764,3.6800000000000003e-06
-62.46639999999999,5.58e-06
-62.4564,8.41e-06
-62.4464,1.251e-05
-62.436400000000006,1.841e-05
-62.4264,2.683e-05
-62.416399999999996,3.87e-05
-62.406400000000005,5.51e-05
-62.3964,7.78e-05
-62.386399999999995,0.00010850000000000001
-62.376400000000004,0.0001498
-62.3664,0.0002048
-62.356399999999994,0.0002768
-62.3464,0.00037
-62.3364,0.00049
-62.32639999999999,0.0006410000000000001
-62.3164,0.0008309999999999999
-62.3064,0.0010630000000000001
-62.296400000000006,0.001348
-62.2864,0.001691
-62.276399999999995,0.002097
-62.266400000000004,0.002575
-62.2564,0.00313
-62.246399999999994,0.0037600000000000003
-62.2364,0.00447
-62.2264,0.00525
-62.21639999999999,0.006110000000000001
-62.2064,0.00704
-62.1964,0.00802
-62.186400000000006,0.00904
-62.1764,0.01007
-62.166399999999996,0.011120000000000001
-62.156400000000005,0.012129999999999998
-62.1464,0.0131
-62.136399999999995,0.01398
-62.126400000000004,0.014780000000000001
-62.1164,0.01546
-62.106399999999994,0.01598
-62.0964,0.01636
-62.0864,0.01656
-62.07639999999999,0.01659
-62.0664,0.01644
-62.0564,0.01612
-62.046400000000006,0.015629999999999998
-62.0364,0.015
-62.026399999999995,0.01423
-62.016400000000004,0.013380000000000001
-62.0064,0.01243
-61.996399999999994,0.01142
-61.9864,0.01039
-61.9764,0.00935
-61.96639999999999,0.00832
-61.9564,0.00733
-61.9464,0.00639
-61.936400000000006,0.0055
-61.9264,0.00469
-61.916399999999996,0.00396
-61.906400000000005,0.0033
-61.8964,0.002728
-61.886399999999995,0.002229
-61.876400000000004,0.001801
-61.8664,0.0014399999999999999
-61.856399999999994,0.001139
-61.8464,0.000891
-61.8364,0.000691
-61.82639999999999,0.000529
-61.8164,0.000401
-61.8064,0.0002999
-61.796400000000006,0.00022270000000000002
-61.7864,0.00016340000000000001
-61.776399999999995,0.00011860000000000001
-61.766400000000004,8.510000000000001e-05
-61.7564,6.06e-05
-61.746399999999994,4.25e-05
-61.7364,2.955e-05
-61.7264,2.033e-05
-61.71639999999999,1.3829999999999998e-05
-61.7064,9.31e-06
-61.6964,6.2e-06
-61.686400000000006,4.09e-06
-61.6764,2.6640000000000002e-06
-61.666399999999996,1.718e-06
-61.656400000000005,1.095e-06
-61.6464,6.91e-07
-61.636399999999995,4.32e-07
-61.626400000000004,2.666e-07
-61.6164,1.6300000000000002e-07
-61.606399999999994,9.85e-08
-61.5964,5.89e-08
-61.5864,3.49e-08
-61.57639999999999,2.04e-08
-61.5664,1.182e-08
-61.5564,6.76e-09
-61.546400000000006,3.84e-09
-61.5364,2.15e-09
-61.526399999999995,1.192e-09
-61.516400000000004,6.549999999999999e-10
-61.5064,3.54e-10
-61.496399999999994,1.907e-10
-61.4864,1.013e-10
-61.4764,5.3300000000000006e-11
-61.46639999999999,2.767e-11
-61.4564,1.424e-11
-61.4464,7.250000000000001e-12
-61.436400000000006,3.65e-12
-61.4264,1.816e-12
-61.416399999999996,8.95e-13
-61.406400000000005,4.3599999999999996e-13
-61.3964,1.9940000000000001e-13
-61.386399999999995,9.519999999999999e-14
-61.376400000000004,0.0
-61.3664,0.0
-61.356399999999994,0.0
-61.3464,0.0
-61.3364,0.0
-61.32639999999999,0.0
-61.3164,0.0
-61.3064,0.0
-61.296400000000006,0.0
-61.2864,0.0
-61.276399999999995,0.0
-61.266400000000004,0.0
-61.2564,0.0
-61.246399999999994,0.0
-61.2364,0.0
-61.2264,0.0
-61.21639999999999,0.0
-61.2064,0.0
-61.1964,0.0
-61.186400000000006,0.0
-61.1764,0.0
-61.166399999999996,0.0
-61.156400000000005,0.0
-61.1464,0.0
-61.136399999999995,0.0
-61.126400000000004,0.0
-61.1164,0.0
-61.106399999999994,0.0
-61.0964,0.0
-61.0864,0.0
-61.07639999999999,0.0
-61.0664,0.0
-61.0564,0.0
-61.046400000000006,0.0
-61.0364,0.0
-61.026399999999995,0.0
-61.016400000000004,0.0
-61.0064,0.0
-60.996399999999994,0.0
-60.9864,0.0
-60.9764,0.0
-60.96639999999999,0.0
-60.9564,0.0
-60.9464,0.0
-60.936400000000006,0.0
-60.9264,0.0
-60.916399999999996,0.0
-60.906400000000005,0.0
-60.8964,0.0
-60.886399999999995,0.0
-60.876400000000004,0.0
-60.8664,0.0
-60.856399999999994,0.0
-60.8464,0.0
-60.8364,0.0
-60.82639999999999,0.0
-60.8164,0.0
-60.8064,0.0
-60.796400000000006,0.0
-60.7864,0.0
-60.776399999999995,0.0
-60.766400000000004,0.0
-60.7564,0.0
-60.746399999999994,0.0
-60.7364,0.0
-60.7264,0.0
-60.71639999999999,0.0
-60.7064,0.0
-60.6964,0.0
-60.686400000000006,0.0
-60.6764,0.0
-60.666399999999996,0.0
-60.656400000000005,0.0
-60.6464,0.0
-60.636399999999995,0.0
-60.626400000000004,0.0
-60.6164,0.0
-60.606399999999994,0.0
-60.5964,0.0
-60.5864,0.0
-60.57639999999999,0.0
-60.5664,0.0
-60.5564,0.0
-60.546400000000006,0.0
-60.5364,0.0
-60.526399999999995,0.0
-60.516400000000004,0.0
-60.5064,0.0
-60.496399999999994,0.0
-60.4864,0.0
-60.4764,0.0
-60.46639999999999,0.0
-60.4564,0.0
-60.4464,0.0
-60.436400000000006,0.0
-60.4264,0.0
-60.416399999999996,0.0
-60.406400000000005,0.0
-60.3964,0.0
-60.386399999999995,0.0
-60.376400000000004,0.0
-60.3664,0.0
-60.356399999999994,0.0
-60.3464,0.0
-60.3364,0.0
-60.32639999999999,0.0
-60.3164,0.0
-60.3064,0.0
-60.296400000000006,0.0
-60.2864,0.0
-60.276399999999995,0.0
-60.266400000000004,0.0
-60.2564,0.0
-60.246399999999994,0.0
-60.2364,0.0
-60.2264,0.0
-60.21639999999999,0.0
-60.2064,0.0
-60.1964,0.0
-60.186400000000006,0.0
-60.1764,0.0
-60.166399999999996,0.0
-60.156400000000005,0.0
-60.1464,0.0
-60.136399999999995,0.0
-60.126400000000004,0.0
-60.1164,0.0
-60.106399999999994,0.0
-60.0964,0.0
-60.0864,0.0
-60.07639999999999,0.0
-60.0664,0.0
-60.0564,0.0
-60.046400000000006,0.0
-60.0364,0.0
-60.026399999999995,0.0
-60.016400000000004,0.0
-60.0064,0.0
-59.996399999999994,0.0
-59.9864,0.0
-59.9764,0.0
-59.96639999999999,0.0
-59.9564,0.0
-59.9464,0.0
-59.936400000000006,0.0
-59.9264,0.0
-59.916399999999996,0.0
-59.906400000000005,0.0
-59.8964,0.0
-59.886399999999995,0.0
-59.876400000000004,0.0
-59.8664,0.0
-59.856399999999994,0.0
-59.8464,0.0
-59.8364,0.0
-59.82639999999999,0.0
-59.8164,0.0
-59.8064,0.0
-59.796400000000006,0.0
-59.7864,0.0
-59.776399999999995,0.0
-59.766400000000004,0.0
-59.7564,0.0
-59.746399999999994,0.0
-59.7364,0.0
-59.7264,0.0
-59.71639999999999,0.0
-59.7064,0.0
-59.6964,0.0
-59.686400000000006,0.0
-59.6764,0.0
-59.666399999999996,0.0
-59.656400000000005,0.0
-59.6464,0.0
-59.636399999999995,0.0
-59.626400000000004,0.0
-59.6164,0.0
-59.606399999999994,0.0
-59.5964,0.0
-59.5864,0.0
-59.57639999999999,0.0
-59.5664,0.0
-59.5564,0.0
-59.546400000000006,0.0
-59.5364,0.0
-59.526399999999995,0.0
-59.516400000000004,0.0
-59.5064,0.0
-59.496399999999994,0.0
-59.4864,0.0
-59.4764,0.0
-59.46639999999999,0.0
-59.4564,0.0
-59.4464,0.0
-59.436400000000006,0.0
-59.4264,0.0
-59.416399999999996,0.0
-59.406400000000005,0.0
-59.3964,0.0
-59.386399999999995,0.0
-59.376400000000004,0.0
-59.3664,0.0
-59.356399999999994,0.0
-59.3464,0.0
-59.3364,0.0
-59.32639999999999,0.0
-59.3164,0.0
-59.3064,0.0
-59.296400000000006,0.0
-59.2864,0.0
-59.276399999999995,0.0
-59.266400000000004,0.0
-59.2564,0.0
-59.246399999999994,0.0
-59.2364,0.0
-59.2264,0.0
-59.21639999999999,0.0
-59.2064,0.0
-59.1964,0.0
-59.186400000000006,0.0
-59.1764,0.0
-59.166399999999996,0.0
-59.156400000000005,0.0
-59.1464,0.0
-59.136399999999995,0.0
-59.126400000000004,0.0
-59.1164,0.0
-59.106399999999994,0.0
-59.0964,0.0
-59.0864,0.0
-59.07639999999999,0.0
-59.0664,0.0
-59.0564,0.0
-59.046400000000006,0.0
-59.0364,0.0
-59.026399999999995,0.0
-59.016400000000004,0.0
-59.0064,0.0
-58.996399999999994,0.0
-58.9864,0.0
-58.9764,0.0
-58.96639999999999,0.0
-58.9564,0.0
-58.9464,0.0
-58.936400000000006,0.0
-58.9264,0.0
-58.916399999999996,0.0
-58.906400000000005,0.0
-58.8964,0.0
-58.886399999999995,0.0
-58.876400000000004,0.0
-58.8664,0.0
-58.856399999999994,0.0
-58.8464,0.0
-58.8364,0.0
-58.82639999999999,0.0
-58.8164,0.0
-58.8064,0.0
-58.796400000000006,0.0
-58.7864,0.0
-58.776399999999995,0.0
-58.766400000000004,0.0
-58.7564,0.0
-58.746399999999994,0.0
-58.7364,0.0
-58.7264,0.0
-58.71639999999999,0.0
-58.7064,0.0
-58.6964,0.0
-58.686400000000006,0.0
-58.6764,0.0
-58.666399999999996,0.0
-58.656400000000005,0.0
-58.6464,0.0
-58.636399999999995,0.0
-58.626400000000004,0.0
-58.6164,0.0
-58.606399999999994,0.0
-58.5964,0.0
-58.5864,0.0
-58.57639999999999,0.0
-58.5664,0.0
-58.5564,0.0
-58.546400000000006,0.0
-58.5364,0.0
-58.526399999999995,0.0
-58.516400000000004,0.0
-58.5064,0.0
-58.496399999999994,0.0
-58.4864,0.0
-58.4764,0.0
-58.46639999999999,0.0
-58.4564,0.0
-58.4464,0.0
-58.436400000000006,0.0
-58.4264,0.0
-58.416399999999996,0.0
-58.406400000000005,0.0
-58.3964,0.0
-58.386399999999995,0.0
-58.376400000000004,0.0
-58.3664,0.0
-58.356399999999994,0.0
-58.3464,0.0
-58.3364,0.0
-58.32639999999999,0.0
-58.3164,0.0
-58.3064,0.0
-58.296400000000006,0.0
-58.2864,0.0
-58.276399999999995,0.0
-58.266400000000004,0.0
-58.2564,0.0
-58.246399999999994,0.0
-58.2364,0.0
-58.2264,0.0
-58.21639999999999,0.0
-58.2064,0.0
-58.1964,0.0
-58.186400000000006,0.0
-58.1764,0.0
-58.166399999999996,0.0
-58.156400000000005,0.0
-58.1464,0.0
-58.136399999999995,0.0
-58.126400000000004,0.0
-58.1164,0.0
-58.106399999999994,0.0
-58.0964,0.0
-58.0864,0.0
-58.07639999999999,0.0
-58.0664,0.0
-58.0564,0.0
-58.046400000000006,0.0
-58.0364,0.0
-58.026399999999995,0.0
-58.016400000000004,0.0
-58.0064,0.0
-57.996399999999994,0.0
-57.9864,0.0
-57.9764,0.0
-57.96639999999999,0.0
-57.9564,0.0
-57.9464,0.0
-57.936400000000006,0.0
-57.9264,0.0
-57.916399999999996,0.0
-57.906400000000005,0.0
-57.8964,0.0
-57.886399999999995,0.0
-57.876400000000004,0.0
-57.8664,0.0
-57.856399999999994,0.0
-57.8464,0.0
-57.8364,0.0
-57.82639999999999,0.0
-57.8164,0.0
-57.8064,0.0
-57.796400000000006,0.0
-57.7864,0.0
-57.776399999999995,0.0
-57.766400000000004,0.0
-57.7564,0.0
-57.746399999999994,0.0
-57.7364,0.0
-57.7264,0.0
-57.71639999999999,0.0
-57.7064,0.0
-57.6964,0.0
-57.686400000000006,0.0
-57.6764,0.0
-57.666399999999996,0.0
-57.656400000000005,0.0
-57.6464,0.0
-57.636399999999995,0.0
-57.626400000000004,0.0
-57.6164,0.0
-57.606399999999994,0.0
-57.5964,0.0
-57.5864,0.0
-57.57639999999999,0.0
-57.5664,0.0
-57.5564,0.0
-57.546400000000006,0.0
-57.5364,0.0
-57.526399999999995,0.0
-57.516400000000004,0.0
-57.5064,0.0
-57.496399999999994,0.0
-57.4864,0.0
-57.4764,0.0
-57.46639999999999,0.0
-57.4564,0.0
-57.4464,0.0
-57.436400000000006,0.0
-57.4264,0.0
-57.416399999999996,0.0
-57.406400000000005,0.0
-57.3964,0.0
-57.386399999999995,0.0
-57.376400000000004,0.0
-57.3664,0.0
-57.356399999999994,0.0
-57.3464,0.0
-57.3364,0.0
-57.32639999999999,0.0
-57.3164,0.0
-57.3064,0.0
-57.296400000000006,0.0
-57.2864,0.0
-57.276399999999995,0.0
-57.266400000000004,0.0
-57.2564,0.0
-57.246399999999994,0.0
-57.2364,0.0
-57.2264,0.0
-57.21639999999999,0.0
-57.2064,0.0
-57.1964,0.0
-57.186400000000006,0.0
-57.1764,0.0
-57.166399999999996,0.0
-57.156400000000005,0.0
-57.1464,0.0
-57.136399999999995,0.0
-57.126400000000004,0.0
-57.1164,0.0
-57.106399999999994,0.0
-57.0964,0.0
-57.0864,0.0
-57.07639999999999,0.0
-57.0664,0.0
-57.0564,0.0
-57.046400000000006,0.0
-57.0364,0.0
