,Mo_4dzx
-62.526399999999995,4.11e-11
-62.516400000000004,6.53e-11
-62.5064,1.0260000000000001e-10
-62.496399999999994,1.595e-10
-62.4864,2.454e-10
-62.4764,3.7299999999999995e-10
-62.46639999999999,5.62e-10
-62.4564,8.38e-10
-62.4464,1.234e-09
-62.436400000000006,1.7980000000000002e-09
-62.4264,2.594e-09
-62.416399999999996,3.7e-09
-62.406400000000005,5.22e-09
-62.3964,7.29e-09
-62.386399999999995,1.008e-08
-62.376400000000004,1.3779999999999998e-08
-62.3664,1.864e-08
-62.356399999999994,2.492e-08
-62.3464,3.29e-08
-62.3364,4.32e-08
-62.32639999999999,5.6e-08
-62.3164,7.17e-08
-62.3064,9.09e-08
-62.296400000000006,1.1419999999999999e-07
-62.2864,1.418e-07
-62.276399999999995,1.74e-07
-62.266400000000004,2.115e-07
-62.2564,2.543e-07
-62.246399999999994,3.03e-07
-62.2364,3.5599999999999996e-07
-62.2264,4.14e-07
-62.21639999999999,4.77e-07
-62.2064,5.429999999999999e-07
-62.1964,6.13e-07
-62.186400000000006,6.83e-07
-62.1764,7.54e-07
-62.166399999999996,8.23e-07
-62.156400000000005,8.890000000000001e-07
-62.1464,9.51e-07
-62.136399999999995,1.0050000000000001e-06
-62.126400000000004,1.05e-06
-62.1164,1.089e-06
-62.106399999999994,1.113e-06
-62.0964,1.128e-06
-62.0864,1.131e-06
-62.07639999999999,1.122e-06
-62.0664,1.1e-06
-62.0564,1.069e-06
-62.046400000000006,1.025e-06
-62.0364,9.74e-07
-62.026399999999995,9.16e-07
-62.016400000000004,8.52e-07
-62.0064,7.84e-07
-61.996399999999994,7.140000000000001e-07
-61.9864,6.43e-07
-61.9764,5.73e-07
-61.96639999999999,5.06e-07
-61.9564,4.4e-07
-61.9464,3.8e-07
-61.936400000000006,3.25e-07
-61.9264,2.746e-07
-61.916399999999996,2.294e-07
-61.906400000000005,1.898e-07
-61.8964,1.553e-07
-61.886399999999995,1.257e-07
-61.876400000000004,1.007e-07
-61.8664,7.97e-08
-61.856399999999994,6.259999999999999e-08
-61.8464,4.86e-08
-61.8364,3.7199999999999996e-08
-61.82639999999999,2.828e-08
-61.8164,2.1250000000000002e-08
-61.8064,1.5800000000000003e-08
-61.796400000000006,1.162e-08
-61.7864,8.450000000000001e-09
-61.776399999999995,6.079999999999999e-09
-61.766400000000004,4.33e-09
-61.7564,3.06e-09
-61.746399999999994,2.129e-09
-61.7364,1.4689999999999998e-09
-61.7264,1.003e-09
-61.71639999999999,6.759999999999999e-10
-61.7064,4.52e-10
-61.6964,2.984e-10
-61.686400000000006,1.9540000000000002e-10
-61.6764,1.265e-10
-61.666399999999996,8.099999999999999e-11
-61.656400000000005,5.12e-11
-61.6464,3.21e-11
-61.636399999999995,1.991e-11
-61.626400000000004,1.2220000000000001e-11
-61.6164,7.41e-12
-61.606399999999994,4.45e-12
-61.5964,2.644e-12
-61.5864,1.553e-12
-61.57639999999999,9.030000000000001e-13
-61.5664,5.2e-13
-61.5564,2.958e-13
-61.546400000000006,1.665e-13
-61.5364,9.28e-14
-61.526399999999995,5.1100000000000004e-14
-61.516400000000004,2.7889999999999998e-14
-61.5064,1.504e-14
-61.496399999999994,8.03e-15
-61.4864,4.24e-15
-61.4764,2.217e-15
-61.46639999999999,1.1459999999999999e-15
-61.4564,5.87e-16
-61.4464,2.966e-16
-61.436400000000006,1.485e-16
-61.4264,7.35e-17
-61.416399999999996,3.6100000000000004e-17
-61.406400000000005,1.747e-17
-61.3964,6.1e-18
-61.386399999999995,2.9120000000000004e-18
-61.376400000000004,0.0
