,S_2px
-62.526399999999995,3.943e-06
-62.516400000000004,6.31e-06
-62.5064,9.990000000000001e-06
-62.496399999999994,1.565e-05
-62.4864,2.424e-05
-62.4764,3.7170000000000005e-05
-62.46639999999999,5.6389999999999994e-05
-62.4564,8.47e-05
-62.4464,0.00012570000000000002
-62.436400000000006,0.00018460000000000001
-62.4264,0.00026829999999999996
-62.416399999999996,0.00038580000000000005
-62.406400000000005,0.0005489999999999999
-62.3964,0.000772
-62.386399999999995,0.001075
-62.376400000000004,0.001484
-62.3664,0.0020210000000000002
-62.356399999999994,0.0027279999999999995
-62.3464,0.0036390000000000003
-62.3364,0.004805
-62.32639999999999,0.00628
-62.3164,0.00811
-62.3064,0.01037
-62.296400000000006,0.013130000000000001
-62.2864,0.01644
-62.276399999999995,0.02034
-62.266400000000004,0.024929999999999997
-62.2564,0.03021
-62.246399999999994,0.03624
-62.2364,0.04301
-62.2264,0.050499999999999996
-62.21639999999999,0.05863
-62.2064,0.0674
-62.1964,0.0767
-62.186400000000006,0.0862
-62.1764,0.0959
-62.166399999999996,0.10550000000000001
-62.156400000000005,0.11510000000000001
-62.1464,0.12409999999999999
-62.136399999999995,0.13219999999999998
-62.126400000000004,0.1395
-62.1164,0.1456
-62.106399999999994,0.1503
-62.0964,0.1535
-62.0864,0.1551
-62.07639999999999,0.1551
-62.0664,0.1536
-62.0564,0.1503
-62.046400000000006,0.1455
-62.0364,0.1395
-62.026399999999995,0.1321
-62.016400000000004,0.12409999999999999
-62.0064,0.1152
-61.996399999999994,0.10570000000000002
-61.9864,0.096
-61.9764,0.0862
-61.96639999999999,0.0766
-61.9564,0.0673
-61.9464,0.058620000000000005
-61.936400000000006,0.05045
-61.9264,0.04297
-61.916399999999996,0.036210000000000006
-61.906400000000005,0.03018
-61.8964,0.02489
-61.886399999999995,0.020309999999999998
-61.876400000000004,0.01638
-61.8664,0.01309
-61.856399999999994,0.01034
-61.8464,0.00808
-61.8364,0.00625
-61.82639999999999,0.004783
-61.8164,0.00362
-61.8064,0.0027080000000000003
