,Mo_3pz
-62.504,1.662e-11
-62.494,2.58e-11
-62.484,3.98e-11
-62.474,6.06e-11
-62.464,9.12e-11
-62.454,1.362e-10
-62.444,2e-10
-62.434,2.94e-10
-62.424,4.24e-10
-62.414,6.04e-10
-62.404,8.56e-10
-62.394,1.198e-09
-62.384,1.658e-09
-62.374,2.28e-09
-62.364,3.08e-09
-62.354,4.14e-09
-62.344,5.48e-09
-62.334,7.22e-09
-62.324,9.38e-09
-62.314,1.208e-08
-62.304,1.538e-08
-62.294,1.938e-08
-62.284,2.42e-08
-62.274,2.98e-08
-62.264,3.64e-08
-62.254,4.4e-08
-62.244,5.26e-08
-62.234,6.24e-08
-62.224,7.3e-08
-62.214,8.46e-08
-62.204,9.72e-08
-62.194,1.104e-07
-62.184,1.24e-07
-62.174,1.38e-07
-62.164,1.52e-07
-62.154,1.656e-07
-62.144,1.786e-07
-62.134,1.906e-07
-62.124,2.02e-07
-62.114,2.1e-07
-62.104,2.18e-07
-62.094,2.24e-07
-62.084,2.26e-07
-62.074,2.26e-07
-62.064,2.26e-07
-62.054,2.22e-07
-62.044,2.16e-07
-62.034,2.08e-07
-62.024,1.974e-07
-62.014,1.862e-07
-62.004,1.738e-07
-61.994,1.604e-07
-61.984,1.468e-07
-61.974,1.328e-07
-61.964,1.188e-07
-61.954,1.054e-07
-61.944,9.24e-08
-61.934,8.02e-08
-61.924,6.9e-08
-61.914,5.86e-08
-61.904,4.94e-08
-61.894,4.12e-08
-61.884,3.4e-08
-61.874,2.76e-08
-61.864,2.24e-08
-61.854,1.786e-08
-61.844,1.412e-08
-61.834,1.106e-08
-61.824,8.56e-09
-61.814,6.56e-09
-61.804,4.98e-09
-61.794,3.74e-09
-61.784,2.78e-09
-61.774,2.04e-09
-61.764,1.488e-09
-61.754,1.07e-09
-61.744,7.64e-10
-61.734,5.38e-10
-61.724,3.76e-10
-61.714,2.6e-10
-61.704,1.772e-10
-61.694,1.198e-10
-61.684,8.02e-11
-61.674,5.3e-11
-61.664,3.48e-11
-61.654,2.26e-11
-61.644,1.448e-11
-61.634,9.18e-12
-61.624,5.78e-12
-61.614,3.58e-12
-61.604,2.2e-12
-61.594,1.342e-12
-61.584,8.08e-13
-61.574,4.82e-13
-61.564,2.84e-13
-61.554,1.656e-13
-61.544,9.56e-14
-61.534,5.46e-14
-61.524,3.08e-14
-61.514,1.724e-14
-61.504,9.54e-15
-61.494,5.22e-15
-61.484,2.82e-15
-61.474,1.512e-15
-61.464,8.02e-16
-61.454,4.2e-16
-61.444,2.18e-16
-61.434,1.12e-16
-61.424,5.68e-17
-61.414,2.86e-17
-61.404,1.42e-17
-61.394,6.66e-18
-61.384,3.26e-18
-61.374,1.512e-18
-61.364,7.22e-19
-61.354,0.0
-61.344,0.0
-61.334,0.0
-61.324,0.0
-61.314,0.0
-61.304,0.0
-61.294,0.0
-61.284,0.0
-61.274,0.0
-61.264,0.0
-61.254,0.0
-61.244,0.0
-61.234,0.0
-61.224,0.0
-61.214,0.0
-61.204,0.0
-61.194,0.0
-61.184,0.0
-61.174,0.0
-61.164,0.0
-61.154,0.0
-61.144,0.0
-61.134,0.0
-61.124,0.0
-61.114,0.0
-61.104,0.0
-61.094,0.0
-61.084,0.0
-61.074,0.0
-61.064,0.0
-61.054,0.0
-61.044,0.0
-61.034,0.0
-61.024,0.0
-61.014,0.0
-61.004,0.0
-60.994,0.0
-60.984,0.0
-60.974,0.0
-60.964,0.0
-60.954,0.0
-60.944,0.0
-60.934,0.0
-60.924,0.0
-60.914,0.0
-60.904,0.0
-60.894,0.0
-60.884,0.0
-60.874,0.0
-60.864,0.0
-60.854,0.0
-60.844,0.0
-60.834,0.0
-60.824,0.0
-60.814,0.0
-60.804,0.0
-60.794,0.0
-60.784,0.0
-60.774,0.0
-60.764,0.0
-60.754,0.0
-60.744,0.0
-60.734,0.0
-60.724,0.0
-60.714,0.0
-60.704,0.0
-60.694,0.0
-60.684,0.0
-60.674,0.0
-60.664,0.0
-60.654,0.0
-60.644,0.0
-60.634,0.0
-60.624,0.0
-60.614,0.0
-60.604,0.0
-60.594,0.0
-60.584,0.0
-60.574,0.0
-60.564,0.0
-60.554,0.0
-60.544,0.0
-60.534,0.0
-60.524,0.0
-60.514,0.0
-60.504,0.0
-60.494,0.0
-60.484,0.0
-60.474,0.0
-60.464,0.0
-60.454,0.0
-60.444,0.0
-60.434,0.0
-60.424,0.0
-60.414,0.0
-60.404,0.0
-60.394,0.0
-60.384,0.0
-60.374,0.0
-60.364,0.0
-60.354,0.0
-60.344,0.0
-60.334,0.0
-60.324,0.0
-60.314,0.0
-60.304,0.0
-60.294,0.0
-60.284,0.0
-60.274,0.0
-60.264,0.0
-60.254,0.0
-60.244,0.0
-60.234,0.0
-60.224,0.0
-60.214,0.0
-60.204,0.0
-60.194,0.0
-60.184,0.0
-60.174,0.0
-60.164,0.0
-60.154,0.0
-60.144,0.0
-60.134,0.0
-60.124,0.0
-60.114,0.0
-60.104,0.0
-60.094,0.0
-60.084,0.0
-60.074,0.0
-60.064,0.0
-60.054,0.0
-60.044,0.0
-60.034,0.0
-60.024,0.0
-60.014,0.0
-60.004,0.0
-59.994,0.0
-59.984,0.0
-59.974,0.0
-59.964,0.0
-59.954,0.0
-59.944,0.0
-59.934,0.0
-59.924,0.0
-59.914,0.0
-59.904,0.0
-59.894,0.0
-59.884,0.0
-59.874,0.0
-59.864,0.0
-59.854,0.0
-59.844,0.0
-59.834,0.0
-59.824,0.0
-59.814,0.0
-59.804,0.0
-59.794,0.0
-59.784,0.0
-59.774,0.0
-59.764,0.0
-59.754,0.0
-59.744,0.0
-59.734,0.0
-59.724,0.0
-59.714,0.0
-59.704,0.0
-59.694,0.0
-59.684,0.0
-59.674,0.0
-59.664,0.0
-59.654,0.0
-59.644,0.0
-59.634,0.0
-59.624,0.0
-59.614,0.0
-59.604,0.0
-59.594,0.0
-59.584,0.0
