,Mo_4dxy
-62.504,2.58e-07
-62.494,4.14e-07
-62.484,6.58e-07
-62.474,1.032e-06
-62.464,1.602e-06
-62.454,2.46e-06
-62.444,3.74e-06
-62.434,5.62e-06
-62.424,8.38e-06
-62.414,1.234e-05
-62.404,1.796e-05
-62.394,2.58e-05
-62.384,3.7e-05
-62.374,5.2e-05
-62.364,7.28e-05
-62.354,0.0001004
-62.344,0.0001372
-62.334,0.0001854
-62.324,0.000248
-62.314,0.000328
-62.304,0.00043
-62.294,0.000556
-62.284,0.000714
-62.274,0.000904
-62.264,0.001134
-62.254,0.001408
-62.244,0.001728
-62.234,0.0021
-62.224,0.00252
-62.214,0.003
-62.204,0.00352
-62.194,0.0041
-62.184,0.00472
-62.174,0.00538
-62.164,0.00608
-62.154,0.00676
-62.144,0.00746
-62.134,0.00816
-62.124,0.0088
-62.114,0.0094
-62.104,0.00994
-62.094,0.0104
-62.084,0.01076
-62.074,0.011
-62.064,0.01114
-62.054,0.01116
-62.044,0.01106
-62.034,0.01084
-62.024,0.01052
-62.014,0.0101
-62.004,0.00958
-61.994,0.009
-61.984,0.00838
-61.974,0.0077
-61.964,0.007
-61.954,0.0063
-61.944,0.00562
-61.934,0.00494
-61.924,0.0043
-61.914,0.00372
-61.904,0.00316
-61.894,0.00268
-61.884,0.00224
-61.874,0.001842
-61.864,0.001506
-61.854,0.001216
-61.844,0.000974
-61.834,0.00077
-61.824,0.000602
-61.814,0.000466
-61.804,0.000358
-61.794,0.00027
-61.784,0.000204
-61.774,0.0001506
-61.764,0.0001106
-61.754,8.02e-05
-61.744,5.76e-05
-61.734,4.1e-05
-61.724,2.88e-05
-61.714,2e-05
-61.704,1.378e-05
-61.694,9.38e-06
-61.684,6.32e-06
-61.674,4.2e-06
-61.664,2.78e-06
-61.654,1.806e-06
-61.644,1.166e-06
-61.634,7.44e-07
-61.624,4.7e-07
-61.614,2.94e-07
-61.604,1.81e-07
-61.594,1.106e-07
-61.584,6.7e-08
-61.574,4e-08
-61.564,2.36e-08
-61.554,1.386e-08
-61.544,8.04e-09
-61.534,4.6e-09
-61.524,2.6e-09
-61.514,1.462e-09
-61.504,8.12e-10
-61.494,4.46e-10
-61.484,2.42e-10
-61.474,1.298e-10
-61.464,6.9e-11
-61.454,3.62e-11
-61.444,1.886e-11
-61.434,9.7e-12
-61.424,4.94e-12
-61.414,2.48e-12
-61.404,1.238e-12
-61.394,6.1e-13
-61.384,2.98e-13
-61.374,1.362e-13
-61.364,6.5e-14
-61.354,0.0
-61.344,0.0
-61.334,0.0
