,Mo_4dz2
-62.504,3.32e-07
-62.494,5.18e-07
-62.484,8.02e-07
-62.474,1.226e-06
-62.464,1.856e-06
-62.454,2.78e-06
-62.444,4.12e-06
-62.434,6.06e-06
-62.424,8.78e-06
-62.414,1.262e-05
-62.404,1.794e-05
-62.394,2.52e-05
-62.384,3.52e-05
-62.374,4.84e-05
-62.364,6.6e-05
-62.354,8.9e-05
-62.344,0.0001186
-62.334,0.0001568
-62.324,0.000204
-62.314,0.000264
-62.304,0.00034
-62.294,0.00043
-62.284,0.000538
-62.274,0.000668
-62.264,0.00082
-62.254,0.000994
-62.244,0.001196
-62.234,0.001422
-62.224,0.001674
-62.214,0.00195
-62.204,0.00224
-62.194,0.00256
-62.184,0.0029
-62.174,0.00324
-62.164,0.00358
-62.154,0.0039
-62.144,0.00424
-62.134,0.00454
-62.124,0.0048
-62.114,0.00504
-62.104,0.00524
-62.094,0.00538
-62.084,0.00546
-62.074,0.0055
-62.064,0.00548
-62.054,0.0054
-62.044,0.00526
-62.034,0.00508
-62.024,0.00486
-62.014,0.00458
-62.004,0.00428
-61.994,0.00396
-61.984,0.00364
-61.974,0.0033
-61.964,0.00296
-61.954,0.00262
-61.944,0.0023
-61.934,0.002
-61.924,0.001722
-61.914,0.001466
-61.904,0.001234
-61.894,0.00103
-61.884,0.000848
-61.874,0.000692
-61.864,0.00056
-61.854,0.000448
-61.844,0.000354
-61.834,0.000276
-61.824,0.000214
-61.814,0.0001644
-61.804,0.0001246
-61.794,9.34e-05
-61.784,6.94e-05
-61.774,5.1e-05
-61.764,3.7e-05
-61.754,2.66e-05
-61.744,1.9e-05
-61.734,1.338e-05
-61.724,9.32e-06
-61.714,6.44e-06
-61.704,4.38e-06
-61.694,2.96e-06
-61.684,1.98e-06
-61.674,1.31e-06
-61.664,8.56e-07
-61.654,5.54e-07
-61.644,3.56e-07
-61.634,2.26e-07
-61.624,1.412e-07
-61.614,8.76e-08
-61.604,5.38e-08
-61.594,3.26e-08
-61.584,1.962e-08
-61.574,1.166e-08
-61.564,6.86e-09
-61.554,4e-09
-61.544,2.3e-09
-61.534,1.312e-09
-61.524,7.4e-10
-61.514,4.12e-10
-61.504,2.28e-10
-61.494,1.244e-10
-61.484,6.72e-11
-61.474,3.6e-11
-61.464,1.902e-11
-61.454,9.96e-12
-61.444,5.16e-12
-61.434,2.64e-12
-61.424,1.338e-12
-61.414,6.72e-13
-61.404,3.34e-13
-61.394,1.586e-13
-61.384,7.72e-14
-61.374,3.16e-14
-61.364,1.506e-14
-61.354,0.0
-61.344,0.0
-61.334,0.0
-61.324,0.0
-61.314,0.0
-61.304,0.0
-61.294,0.0
-61.284,0.0
-61.274,0.0
-61.264,0.0
-61.254,0.0
-61.244,0.0
-61.234,0.0
-61.224,0.0
-61.214,0.0
-61.204,0.0
-61.194,0.0
-61.184,0.0
-61.174,0.0
-61.164,0.0
-61.154,0.0
-61.144,0.0
-61.134,0.0
-61.124,0.0
-61.114,0.0
-61.104,0.0
-61.094,0.0
-61.084,0.0
-61.074,0.0
-61.064,0.0
-61.054,0.0
-61.044,0.0
-61.034,0.0
-61.024,0.0
-61.014,0.0
-61.004,0.0
-60.994,0.0
-60.984,0.0
-60.974,0.0
-60.964,0.0
-60.954,0.0
-60.944,0.0
-60.934,0.0
-60.924,0.0
-60.914,0.0
-60.904,0.0
-60.894,0.0
-60.884,0.0
-60.874,0.0
-60.864,0.0
-60.854,0.0
-60.844,0.0
-60.834,0.0
-60.824,0.0
-60.814,0.0
-60.804,0.0
-60.794,0.0
-60.784,0.0
-60.774,0.0
-60.764,0.0
-60.754,0.0
-60.744,0.0
-60.734,0.0
-60.724,0.0
-60.714,0.0
-60.704,0.0
-60.694,0.0
-60.684,0.0
-60.674,0.0
-60.664,0.0
-60.654,0.0
-60.644,0.0
-60.634,0.0
-60.624,0.0
-60.614,0.0
-60.604,0.0
-60.594,0.0
-60.584,0.0
-60.574,0.0
-60.564,0.0
-60.554,0.0
-60.544,0.0
-60.534,0.0
-60.524,0.0
-60.514,0.0
-60.504,0.0
-60.494,0.0
-60.484,0.0
-60.474,0.0
-60.464,0.0
-60.454,0.0
-60.444,0.0
-60.434,0.0
-60.424,0.0
-60.414,0.0
-60.404,0.0
-60.394,0.0
-60.384,0.0
-60.374,0.0
-60.364,0.0
-60.354,0.0
-60.344,0.0
-60.334,0.0
-60.324,0.0
-60.314,0.0
-60.304,0.0
-60.294,0.0
-60.284,0.0
-60.274,0.0
-60.264,0.0
-60.254,0.0
-60.244,0.0
-60.234,0.0
-60.224,0.0
-60.214,0.0
-60.204,0.0
-60.194,0.0
-60.184,0.0
-60.174,0.0
-60.164,0.0
-60.154,0.0
-60.144,0.0
-60.134,0.0
-60.124,0.0
