,S_1s
-62.504,1.468e-06
-62.494,2.312e-06
-62.484,3.608e-06
-62.474,5.56e-06
-62.464,8.48e-06
-62.454,1.284e-05
-62.444,1.92e-05
-62.434,2.836e-05
-62.424,4.16e-05
-62.414,6e-05
-62.404,8.6e-05
-62.394,0.000122
-62.384,0.0001712
-62.374,0.0002376
-62.364,0.0003264
-62.354,0.000444
-62.344,0.000596
-62.334,0.000792
-62.324,0.001044
-62.314,0.00136
-62.304,0.001748
-62.294,0.002232
-62.284,0.002812
-62.274,0.003512
-62.264,0.00432
-62.254,0.00528
-62.244,0.0064
-62.234,0.00764
-62.224,0.00908
-62.214,0.0106
-62.204,0.01228
-62.194,0.01408
-62.184,0.016
-62.174,0.01796
-62.164,0.01992
-62.154,0.02188
-62.144,0.0238
-62.134,0.0256
-62.124,0.02724
-62.114,0.02872
-62.104,0.02992
-62.094,0.03084
-62.084,0.03144
-62.074,0.03174
-62.064,0.03168
-62.054,0.03132
-62.044,0.0306
-62.034,0.0296
-62.024,0.02836
-62.014,0.02684
-62.004,0.02516
-61.994,0.02332
-61.984,0.0214
-61.974,0.0194
-61.964,0.01744
-61.954,0.01548
-61.944,0.01362
-61.934,0.01184
-61.924,0.0102
-61.914,0.00868
-61.904,0.00732
-61.894,0.0060999999999999995
-61.884,0.00504
-61.874,0.00412
-61.864,0.003316
-61.854,0.002648
-61.844,0.002096
-61.834,0.00164
-61.824,0.001268
-61.814,0.000972
-61.804,0.000736
-61.794,0.000552
-61.784,0.000408
-61.774,0.0003004
-61.764,0.000218
-61.754,0.0001568
-61.744,0.0001112
-61.734,7.84e-05
-61.724,5.44e-05
-61.714,3.752e-05
-61.704,2.556e-05
-61.694,1.724e-05
-61.684,1.148e-05
-61.674,7.6e-06
-61.664,4.96e-06
-61.654,3.196e-06
-61.644,2.044e-06
-61.634,1.292e-06
-61.624,8.08e-07
-61.614,5e-07
-61.604,3.064e-07
-61.594,1.856e-07
-61.584,1.112e-07
-61.574,6.6e-08
-61.564,3.88e-08
-61.554,2.252e-08
-61.544,1.296e-08
-61.534,7.36e-09
-61.524,4.12e-09
-61.514,2.304e-09
-61.504,1.268e-09
-61.494,6.92e-10
-61.484,3.724e-10
-61.474,1.984e-10
-61.464,1.048e-10
-61.454,5.48e-11
-61.444,2.824e-11
-61.434,1.444e-11
-61.424,7.28e-12
-61.414,3.648e-12
-61.404,1.804e-12
-61.394,8.76e-13
-61.384,4.24e-13
-61.374,1.428e-13
-61.364,6.84e-14
-61.354,0.0
-61.344,0.0
-61.334,0.0
-61.324,0.0
-61.314,0.0
-61.304,0.0
-61.294,0.0
-61.284,0.0
-61.274,0.0
-61.264,0.0
-61.254,0.0
-61.244,0.0
-61.234,0.0
-61.224,0.0
-61.214,0.0
-61.204,0.0
-61.194,0.0
-61.184,0.0
-61.174,0.0
-61.164,0.0
-61.154,0.0
-61.144,0.0
-61.134,0.0
-61.124,0.0
-61.114,0.0
-61.104,0.0
-61.094,0.0
-61.084,0.0
-61.074,0.0
-61.064,0.0
-61.054,0.0
-61.044,0.0
-61.034,0.0
-61.024,0.0
-61.014,0.0
-61.004,0.0
-60.994,0.0
-60.984,0.0
-60.974,0.0
-60.964,0.0
-60.954,0.0
-60.944,0.0
-60.934,0.0
-60.924,0.0
-60.914,0.0
-60.904,0.0
-60.894,0.0
-60.884,0.0
-60.874,0.0
-60.864,0.0
-60.854,0.0
-60.844,0.0
-60.834,0.0
-60.824,0.0
-60.814,0.0
-60.804,0.0
-60.794,0.0
-60.784,0.0
-60.774,0.0
-60.764,0.0
-60.754,0.0
-60.744,0.0
-60.734,0.0
-60.724,0.0
-60.714,0.0
-60.704,0.0
-60.694,0.0
-60.684,0.0
-60.674,0.0
-60.664,0.0
-60.654,0.0
-60.644,0.0
-60.634,0.0
-60.624,0.0
-60.614,0.0
-60.604,0.0
-60.594,0.0
-60.584,0.0
-60.574,0.0
-60.564,0.0
-60.554,0.0
-60.544,0.0
-60.534,0.0
-60.524,0.0
-60.514,0.0
-60.504,0.0
-60.494,0.0
-60.484,0.0
-60.474,0.0
-60.464,0.0
-60.454,0.0
-60.444,0.0
-60.434,0.0
-60.424,0.0
-60.414,0.0
-60.404,0.0
-60.394,0.0
-60.384,0.0
-60.374,0.0
-60.364,0.0
-60.354,0.0
-60.344,0.0
-60.334,0.0
-60.324,0.0
-60.314,0.0
-60.304,0.0
-60.294,0.0
-60.284,0.0
-60.274,0.0
-60.264,0.0
-60.254,0.0
-60.244,0.0
-60.234,0.0
-60.224,0.0
-60.214,0.0
-60.204,0.0
-60.194,0.0
-60.184,0.0
-60.174,0.0
-60.164,0.0
-60.154,0.0
-60.144,0.0
-60.134,0.0
-60.124,0.0
-60.114,0.0
-60.104,0.0
-60.094,0.0
-60.084,0.0
-60.074,0.0
-60.064,0.0
-60.054,0.0
-60.044,0.0
-60.034,0.0
-60.024,0.0
-60.014,0.0
-60.004,0.0
-59.994,0.0
-59.984,0.0
-59.974,0.0
-59.964,0.0
-59.954,0.0
-59.944,0.0
-59.934,0.0
-59.924,0.0
-59.914,0.0
-59.904,0.0
-59.894,0.0
-59.884,0.0
-59.874,0.0
-59.864,0.0
-59.854,0.0
-59.844,0.0
-59.834,0.0
-59.824,0.0
-59.814,0.0
-59.804,0.0
-59.794,0.0
-59.784,0.0
-59.774,0.0
-59.764,0.0
-59.754,0.0
-59.744,0.0
-59.734,0.0
-59.724,0.0
-59.714,0.0
-59.704,0.0
-59.694,0.0
-59.684,0.0
-59.674,0.0
-59.664,0.0
-59.654,0.0
-59.644,0.0
-59.634,0.0
-59.624,0.0
-59.614,0.0
-59.604,0.0
-59.594,0.0
-59.584,0.0
-59.574,0.0
-59.564,0.0
-59.554,0.0
-59.544,0.0
-59.534,0.0
-59.524,0.0
-59.514,0.0
-59.504,0.0
-59.494,0.0
-59.484,0.0
-59.474,0.0
-59.464,0.0
-59.454,0.0
-59.444,0.0
-59.434,0.0
-59.424,0.0
-59.414,0.0
-59.404,0.0
-59.394,0.0
-59.384,0.0
-59.374,0.0
-59.364,0.0
-59.354,0.0
-59.344,0.0
-59.334,0.0
-59.324,0.0
-59.314,0.0
-59.304,0.0
-59.294,0.0
-59.284,0.0
-59.274,0.0
-59.264,0.0
-59.254,0.0
-59.244,0.0
-59.234,0.0
-59.224,0.0
-59.214,0.0
-59.204,0.0
-59.194,0.0
-59.184,0.0
-59.174,0.0
-59.164,0.0
-59.154,0.0
-59.144,0.0
-59.134,0.0
-59.124,0.0
-59.114,0.0
-59.104,0.0
-59.094,0.0
-59.084,0.0
-59.074,0.0
-59.064,0.0
-59.054,0.0
-59.044,0.0
-59.034,0.0
-59.024,0.0
-59.014,0.0
-59.004,0.0
-58.994,0.0
-58.984,0.0
-58.974,0.0
-58.964,0.0
-58.954,0.0
-58.944,0.0
-58.934,0.0
-58.924,0.0
-58.914,0.0
-58.904,0.0
-58.894,0.0
-58.884,0.0
-58.874,0.0
-58.864,0.0
-58.854,0.0
-58.844,0.0
-58.834,0.0
-58.824,0.0
-58.814,0.0
-58.804,0.0
-58.794,0.0
-58.784,0.0
-58.774,0.0
-58.764,0.0
-58.754,0.0
-58.744,0.0
-58.734,0.0
-58.724,0.0
-58.714,0.0
-58.704,0.0
-58.694,0.0
-58.684,0.0
-58.674,0.0
-58.664,0.0
-58.654,0.0
-58.644,0.0
-58.634,0.0
-58.624,0.0
-58.614,0.0
-58.604,0.0
-58.594,0.0
-58.584,0.0
-58.574,0.0
-58.564,0.0
-58.554,0.0
-58.544,0.0
-58.534,0.0
-58.524,0.0
-58.514,0.0
-58.504,0.0
-58.494,0.0
-58.484,0.0
-58.474,0.0
-58.464,0.0
-58.454,0.0
-58.444,0.0
-58.434,0.0
-58.424,0.0
-58.414,0.0
-58.404,0.0
-58.394,0.0
-58.384,0.0
-58.374,0.0
-58.364,0.0
-58.354,0.0
-58.344,0.0
-58.334,0.0
-58.324,0.0
-58.314,0.0
-58.304,0.0
-58.294,0.0
-58.284,0.0
-58.274,0.0
-58.264,0.0
-58.254,0.0
-58.244,0.0
-58.234,0.0
-58.224,0.0
-58.214,0.0
-58.204,0.0
-58.194,0.0
-58.184,0.0
-58.174,0.0
-58.164,0.0
-58.154,0.0
-58.144,0.0
-58.134,0.0
-58.124,0.0
-58.114,0.0
-58.104,0.0
-58.094,0.0
-58.084,0.0
-58.074,0.0
-58.064,0.0
-58.054,0.0
-58.044,0.0
-58.034,0.0
-58.024,0.0
-58.014,0.0
-58.004,0.0
-57.994,0.0
-57.984,0.0
-57.974,0.0
-57.964,0.0
-57.954,0.0
-57.944,0.0
-57.934,0.0
-57.924,0.0
-57.914,0.0
-57.904,0.0
-57.894,0.0
-57.884,0.0
-57.874,0.0
-57.864,0.0
-57.854,0.0
-57.844,0.0
-57.834,0.0
-57.824,0.0
-57.814,0.0
-57.804,0.0
-57.794,0.0
-57.784,0.0
-57.774,0.0
-57.764,0.0
-57.754,0.0
-57.744,0.0
-57.734,0.0
-57.724,0.0
-57.714,0.0
-57.704,0.0
-57.694,0.0
-57.684,0.0
-57.674,0.0
-57.664,0.0
-57.654,0.0
-57.644,0.0
-57.634,0.0
-57.624,0.0
-57.614,0.0
-57.604,0.0
-57.594,0.0
-57.584,0.0
-57.574,0.0
-57.564,0.0
-57.554,0.0
-57.544,0.0
-57.534,0.0
-57.524,0.0
-57.514,0.0
-57.504,0.0
-57.494,0.0
-57.484,0.0
-57.474,0.0
-57.464,0.0
-57.454,0.0
-57.444,0.0
-57.434,0.0
-57.424,0.0
-57.414,0.0
-57.404,0.0
-57.394,0.0
-57.384,0.0
-57.374,0.0
