,Mo_3py
-62.493,5.500463999999997e-09
-62.483,8.658856e-09
-62.47299999999999,1.3481192000000007e-08
-62.463,2.0696640000000008e-08
-62.452999999999996,3.171047999999999e-08
-62.44299999999999,4.779204e-08
-62.433,7.130792000000005e-08
-62.422999999999995,1.0546399999999998e-07
-62.413000000000004,1.5425420000000004e-07
-62.403,2.2271849999999993e-07
-62.392999999999994,3.194232000000001e-07
-62.383,4.538640000000001e-07
-62.373,6.376319999999998e-07
-62.36299999999999,8.859359999999998e-07
-62.353,1.2183290000000004e-06
-62.342999999999996,1.6592399999999991e-06
-62.33299999999999,2.2433599999999997e-06
-62.323,2.98876e-06
-62.312999999999995,3.945090000000001e-06
-62.303000000000004,5.159359999999998e-06
-62.293,6.684640000000001e-06
-62.282999999999994,8.57404e-06
-62.273,1.08948e-05
-62.263,1.3704000000000008e-05
-62.25299999999999,1.7087200000000015e-05
-62.243,2.1142799999999993e-05
-62.233,2.5803199999999997e-05
-62.22299999999999,3.1265599999999994e-05
-62.213,3.741679999999999e-05
-62.202999999999996,4.447999999999999e-05
-62.19299999999999,5.234799999999999e-05
-62.183,6.108699999999998e-05
-62.172999999999995,7.0776e-05
-62.163000000000004,8.101600000000001e-05
-62.153,9.215500000000001e-05
-62.142999999999994,0.00010390399999999996
-62.133,0.00011598199999999999
-62.123,0.00012845899999999996
-62.11299999999999,0.000141134
-62.103,0.00015387999999999996
-62.092999999999996,0.00016607999999999993
-62.08299999999999,0.0001780800000000001
-62.073,0.00018927999999999992
-62.062999999999995,0.00019984000000000004
-62.053000000000004,0.00020911999999999987
-62.043,0.0002174300000000001
-62.032999999999994,0.0002241600000000001
-62.023,0.00022928000000000003
-62.013,0.00023296
-62.00299999999999,0.00023471999999999979
-61.993,0.00023503999999999986
-61.983,0.00023327999999999988
-61.97299999999999,0.0002299199999999999
-61.963,0.00022512000000000007
-61.952999999999996,0.00021872000000000016
-61.94299999999999,0.00021055999999999988
-61.933,0.00020160000000000002
-61.922999999999995,0.00019136
-61.913000000000004,0.0001801600000000001
-61.903,0.00016847999999999996
-61.892999999999994,0.00015616000000000002
-61.883,0.00014367999999999998
-61.873,0.000131092
-61.86299999999999,0.00011855999999999999
-61.853,0.00010652800000000002
-61.842999999999996,9.466600000000002e-05
-61.83299999999999,8.358399999999995e-05
-61.823,7.3184e-05
-61.812999999999995,6.346800000000001e-05
-61.803000000000004,5.450000000000005e-05
-61.793,4.6403999999999985e-05
-61.782999999999994,3.9128000000000016e-05
-61.773,3.276719999999999e-05
-61.763,2.710719999999999e-05
-61.75299999999999,2.2249399999999997e-05
-61.743,1.8146399999999996e-05
-61.733,1.4627200000000003e-05
-61.72299999999999,1.1664799999999994e-05
-61.713,9.228119999999999e-06
-61.702999999999996,7.222419999999996e-06
-61.69299999999999,5.597999999999998e-06
-61.683,4.29504e-06
-61.672999999999995,3.2723999999999985e-06
-61.663000000000004,2.452960000000001e-06
-61.653,1.8310179999999998e-06
-61.642999999999994,1.3521859999999998e-06
-61.633,9.876299999999994e-07
-61.623,7.141190000000002e-07
-61.61299999999999,5.113279999999998e-07
-61.603,3.6218200000000003e-07
-61.592999999999996,2.5409429999999995e-07
-61.58299999999999,1.7671489999999999e-07
-61.573,1.2132680000000003e-07
-61.562999999999995,8.252239999999997e-08
-61.553000000000004,5.559096000000003e-08
-61.543,3.6994480000000014e-08
-61.532999999999994,2.4416320000000004e-08
-61.523,1.594059999999999e-08
-61.513,1.0300400000000005e-08
-61.50299999999999,6.585049000000001e-09
-61.493,4.165267000000001e-09
-61.483,2.6097780000000002e-09
-61.47299999999999,1.6165162999999996e-09
-61.463,9.909800000000002e-10
-61.452999999999996,6.016479999999997e-10
-61.44299999999999,3.613957999999999e-10
-61.433,2.1422047000000004e-10
-61.422999999999995,1.2628991e-10
-61.413000000000004,7.349263999999997e-11
-61.403,4.2336565999999994e-11
-61.392999999999994,2.410205099999999e-11
-61.383,1.3592282e-11
-61.373,7.584156999999999e-12
-61.36299999999999,4.185368699999999e-12
-61.353,2.2869749000000003e-12
-61.342999999999996,1.2364478299999994e-12
-61.33299999999999,6.614399399999997e-13
-61.323,3.5037465000000016e-13
-61.312999999999995,1.8318343899999993e-13
-61.303000000000004,9.488834700000003e-14
-61.293,4.8644618e-14
-61.282999999999994,2.4655417299999982e-14
-61.273,1.2326110934600002e-14
-61.263,6.121010463200001e-15
-61.25299999999999,3.009180227299999e-15
-61.243,1.3649091017100005e-15
-61.233,5.449860362100001e-16
-61.22299999999999,2.6084801735000007e-16
-61.213,8.947760611200003e-17
-61.202999999999996,0.0
-61.19299999999999,0.0
-61.183,0.0
-61.172999999999995,0.0
-61.163000000000004,0.0
-61.153,0.0
-61.142999999999994,0.0
-61.133,0.0
-61.123,0.0
-61.11299999999999,0.0
-61.103,0.0
-61.092999999999996,0.0
-61.08299999999999,0.0
-61.073,0.0
-61.062999999999995,0.0
-61.053000000000004,0.0
-61.043,0.0
-61.032999999999994,0.0
-61.023,0.0
-61.013,0.0
-61.00299999999999,0.0
-60.993,0.0
-60.983,0.0
-60.97299999999999,0.0
-60.963,0.0
-60.952999999999996,0.0
-60.94299999999999,0.0
-60.933,0.0
-60.922999999999995,0.0
-60.913000000000004,0.0
-60.903,0.0
-60.892999999999994,0.0
-60.883,0.0
-60.873,0.0
-60.86299999999999,0.0
-60.853,0.0
-60.842999999999996,0.0
-60.83299999999999,0.0
-60.823,0.0
-60.812999999999995,0.0
-60.803000000000004,0.0
-60.793,0.0
-60.782999999999994,0.0
-60.773,0.0
-60.763,0.0
-60.75299999999999,0.0
-60.743,0.0
-60.733,0.0
-60.72299999999999,0.0
-60.713,0.0
-60.702999999999996,0.0
-60.69299999999999,0.0
-60.683,0.0
-60.672999999999995,0.0
-60.663000000000004,0.0
-60.653,0.0
-60.642999999999994,0.0
-60.633,0.0
-60.623,0.0
-60.61299999999999,0.0
-60.603,0.0
-60.592999999999996,0.0
-60.58299999999999,0.0
-60.573,0.0
-60.562999999999995,0.0
-60.553000000000004,0.0
-60.543,0.0
-60.532999999999994,0.0
-60.523,0.0
-60.513,0.0
-60.50299999999999,0.0
-60.493,0.0
-60.483,0.0
-60.47299999999999,0.0
-60.463,0.0
-60.452999999999996,0.0
-60.44299999999999,0.0
-60.433,0.0
-60.422999999999995,0.0
-60.413000000000004,0.0
-60.403,0.0
-60.392999999999994,0.0
-60.383,0.0
-60.373,0.0
-60.36299999999999,0.0
-60.353,0.0
-60.342999999999996,0.0
-60.33299999999999,0.0
-60.323,0.0
-60.312999999999995,0.0
-60.303000000000004,0.0
-60.293,0.0
-60.282999999999994,0.0
-60.273,0.0
-60.263,0.0
-60.25299999999999,0.0
-60.243,0.0
-60.233,0.0
-60.22299999999999,0.0
-60.213,0.0
-60.202999999999996,0.0
-60.19299999999999,0.0
-60.183,0.0
-60.172999999999995,0.0
-60.163000000000004,0.0
-60.153,0.0
-60.142999999999994,0.0
-60.133,0.0
-60.123,0.0
-60.11299999999999,0.0
-60.103,0.0
-60.092999999999996,0.0
-60.08299999999999,0.0
-60.073,0.0
-60.062999999999995,0.0
-60.053000000000004,0.0
-60.043,0.0
-60.032999999999994,0.0
