,Mo_3pz
-62.464000000000006,6.840900000000002e-11
-62.454,1.0765199999999998e-10
-62.443999999999996,1.6760500000000006e-10
-62.434000000000005,2.58184e-10
-62.424,3.936399999999998e-10
-62.413999999999994,5.947399999999999e-10
-62.404,8.900700000000005e-10
-62.394,1.3166599999999997e-09
-62.38400000000001,1.9289800000000013e-09
-62.374,2.7978e-09
-62.364,4.011599999999998e-09
-62.354000000000006,5.706599999999999e-09
-62.344,8.035e-09
-62.333999999999996,1.1188499999999996e-08
-62.324000000000005,1.54241e-08
-62.314,2.1072000000000002e-08
-62.303999999999995,2.852800000000003e-08
-62.294000000000004,3.816099999999999e-08
-62.284,5.054099999999998e-08
-62.27400000000001,6.6447e-08
-62.264,8.641800000000003e-08
-62.254,1.1137300000000003e-07
-62.24400000000001,1.4198e-07
-62.234,1.7952999999999994e-07
-62.224,2.2477e-07
-62.214000000000006,2.7839000000000005e-07
-62.204,3.425000000000001e-07
-62.193999999999996,4.177699999999999e-07
-62.184000000000005,5.033499999999998e-07
-62.174,6.013299999999999e-07
-62.163999999999994,7.118400000000002e-07
-62.154,8.361e-07
-62.144,9.740999999999993e-07
-62.13400000000001,1.1227000000000003e-06
-62.124,1.2835999999999995e-06
-62.114,1.4541999999999993e-06
-62.104000000000006,1.6347000000000002e-06
-62.094,1.8212e-06
-62.083999999999996,2.0131e-06
-62.074000000000005,2.2063e-06
-62.064,2.3972999999999995e-06
-62.053999999999995,2.585600000000001e-06
-62.044000000000004,2.7663000000000005e-06
-62.034,2.935300000000001e-06
-62.02400000000001,3.0909000000000008e-06
-62.014,3.228000000000001e-06
-62.004,3.3474000000000008e-06
-61.99400000000001,3.4440000000000017e-06
-61.984,3.5155999999999994e-06
-61.974,3.562500000000001e-06
-61.964000000000006,3.5819000000000004e-06
-61.954,3.5753000000000007e-06
-61.943999999999996,3.5418000000000005e-06
-61.934000000000005,3.4812000000000007e-06
-61.924,3.3969999999999994e-06
-61.913999999999994,3.2895999999999994e-06
-61.904,3.1605999999999986e-06
-61.894,3.014499999999999e-06
-61.88400000000001,2.8521999999999987e-06
-61.874,2.678e-06
-61.864,2.4948e-06
-61.854000000000006,2.3046e-06
-61.844,2.1132999999999997e-06
-61.833999999999996,1.921500000000001e-06
-61.824000000000005,1.731600000000001e-06
-61.814,1.5486000000000003e-06
-61.803999999999995,1.3726e-06
-61.794000000000004,1.2062900000000004e-06
-61.784,1.0509499999999999e-06
-61.77400000000001,9.085399999999998e-07
-61.764,7.777099999999998e-07
-61.754,6.590000000000002e-07
-61.74400000000001,5.536399999999999e-07
-61.734,4.6177999999999973e-07
-61.724,3.8084000000000017e-07
-61.714000000000006,3.1151999999999997e-07
-61.704,2.52049e-07
-61.693999999999996,2.0231799999999992e-07
-61.684000000000005,1.6077000000000003e-07
-61.674,1.2645599999999998e-07
-61.663999999999994,9.853399999999995e-08
-61.654,7.606199999999998e-08
-61.644,5.8178000000000007e-08
-61.63400000000001,4.395390000000002e-08
-61.624,3.292309999999999e-08
-61.614,2.4387399999999997e-08
-61.604000000000006,1.7915800000000005e-08
-61.594,1.3017399999999995e-08
-61.583999999999996,9.367999999999998e-09
-61.574000000000005,6.6630600000000024e-09
-61.564,4.701150000000002e-09
-61.553999999999995,3.279999999999998e-09
-61.544000000000004,2.2638599999999997e-09
-61.534,1.5484500000000002e-09
-61.52400000000001,1.0474839999999998e-09
-61.514,7.005910000000003e-10
-61.504,4.643519999999999e-10
-61.49400000000001,3.0444000000000004e-10
-61.484,1.9763799999999993e-10
-61.474,1.2694000000000003e-10
-61.464000000000006,8.068470000000001e-11
-61.454,5.07204e-11
-61.443999999999996,3.156839999999998e-11
-61.434000000000005,1.9442859999999996e-11
-61.424,1.1845440000000001e-11
-61.413999999999994,7.150310000000001e-12
-61.404,4.264239999999999e-12
-61.394,2.5168020000000007e-12
-61.38400000000001,1.4709049999999992e-12
-61.374,8.507880000000003e-13
-61.364,4.865899999999999e-13
-61.354000000000006,2.753251999999999e-13
-61.344,1.5420519999999999e-13
-61.333999999999996,8.552240000000001e-14
-61.324000000000005,4.687863000000001e-14
-61.314,2.5435279999999995e-14
-61.303999999999995,1.3656360000000004e-14
-61.294000000000004,7.250340000000001e-15
-61.284,3.808775e-15
-61.27400000000001,1.9797599999999993e-15
-61.264,1.018579e-15
-61.254,5.181888000000001e-16
-61.24400000000001,2.605827679999999e-16
-61.234,1.2990135239999998e-16
-61.224,6.35155254e-17
-61.214000000000006,2.9625129980000005e-17
-61.204,1.3306061619999997e-17
-61.193999999999996,6.377729560000001e-18
-61.184000000000005,2.2265132769999995e-18
-61.174,0.0
-61.163999999999994,0.0
-61.154,0.0
-61.144,0.0
-61.13400000000001,0.0
-61.124,0.0
-61.114,0.0
-61.104000000000006,0.0
-61.094,0.0
-61.083999999999996,0.0
-61.074000000000005,0.0
-61.064,0.0
-61.053999999999995,0.0
-61.044000000000004,0.0
-61.034,0.0
-61.02400000000001,0.0
-61.014,0.0
-61.004,0.0
-60.99400000000001,0.0
-60.984,0.0
-60.974,0.0
-60.964000000000006,0.0
-60.954,0.0
-60.943999999999996,0.0
-60.934000000000005,0.0
-60.924,0.0
-60.913999999999994,0.0
-60.904,0.0
-60.894,0.0
-60.88400000000001,0.0
-60.874,0.0
-60.864,0.0
-60.854000000000006,0.0
-60.844,0.0
-60.833999999999996,0.0
-60.824000000000005,0.0
-60.814,0.0
-60.803999999999995,0.0
-60.794000000000004,0.0
-60.784,0.0
-60.77400000000001,0.0
-60.764,0.0
-60.754,0.0
-60.74400000000001,0.0
-60.734,0.0
-60.724,0.0
-60.714000000000006,0.0
-60.704,0.0
-60.693999999999996,0.0
-60.684000000000005,0.0
-60.674,0.0
-60.663999999999994,0.0
-60.654,0.0
-60.644,0.0
-60.63400000000001,0.0
-60.624,0.0
-60.614,0.0
-60.604000000000006,0.0
-60.594,0.0
-60.583999999999996,0.0
-60.574000000000005,0.0
-60.564,0.0
-60.553999999999995,0.0
-60.544000000000004,0.0
-60.534,0.0
-60.52400000000001,0.0
-60.514,0.0
-60.504,0.0
-60.49400000000001,0.0
-60.484,0.0
-60.474,0.0
-60.464000000000006,0.0
-60.454,0.0
-60.443999999999996,0.0
-60.434000000000005,0.0
-60.424,0.0
-60.413999999999994,0.0
-60.404,0.0
-60.394,0.0
-60.38400000000001,0.0
-60.374,0.0
-60.364,0.0
-60.354000000000006,0.0
-60.344,0.0
-60.333999999999996,0.0
