,Mo_4dx2-y2
-62.493,2.1348605000000004e-06
-62.483,3.4341439999999973e-06
-62.47299999999999,5.472781000000001e-06
-62.463,8.620514999999998e-06
-62.452999999999996,1.3432314000000005e-05
-62.44299999999999,2.065088e-05
-62.433,3.166749999999999e-05
-62.422999999999995,4.768829e-05
-62.413000000000004,7.13104e-05
-62.403,0.00010552219999999997
-62.392999999999994,0.00015438279999999995
-62.383,0.0002238423999999999
-62.373,0.00032033990000000003
-62.36299999999999,0.00045455759999999984
-62.353,0.000639506
-62.342999999999996,0.0008886720000000001
-62.33299999999999,0.0012223420000000002
-62.323,0.0016642559999999998
-62.312999999999995,0.002239704
-62.303000000000004,0.002988400000000002
-62.293,0.003954319999999998
-62.282999999999994,0.005182499999999999
-62.273,0.006705770000000001
-62.263,0.00859225
-62.25299999999999,0.010913199999999998
-62.243,0.013725300000000003
-62.233,0.0170848
-62.22299999999999,0.021113199999999988
-62.213,0.025767200000000004
-62.202999999999996,0.031219900000000023
-62.19299999999999,0.03736040000000001
-62.183,0.04435200000000003
-62.172999999999995,0.05210000000000002
-62.163000000000004,0.060814
-62.153,0.070288
-62.142999999999994,0.080368
-62.133,0.09118899999999998
-62.123,0.102619
-62.11299999999999,0.11453300000000008
-62.103,0.12648799999999996
-62.092999999999996,0.13867200000000007
-62.08299999999999,0.15082999999999996
-62.073,0.16272000000000006
-62.062999999999995,0.17408000000000007
-62.053000000000004,0.1846400000000001
-62.043,0.19455999999999998
-62.032999999999994,0.20319999999999994
-62.023,0.2107199999999999
-62.013,0.21663999999999983
-62.00299999999999,0.2212800000000001
-61.993,0.22432000000000005
-61.983,0.22560000000000002
-61.97299999999999,0.22509000000000018
-61.963,0.22295999999999996
-61.952999999999996,0.2191999999999999
-61.94299999999999,0.2139200000000001
-61.933,0.20704000000000003
-61.922999999999995,0.19904000000000008
-61.913000000000004,0.1897600000000001
-61.903,0.1796000000000001
-61.892999999999994,0.16880000000000003
-61.883,0.15711999999999995
-61.873,0.14512
-61.86299999999999,0.13302299999999992
-61.853,0.12089599999999995
-61.842999999999996,0.10899199999999998
-61.83299999999999,0.09751499999999995
-61.823,0.08635200000000005
-61.812999999999995,0.07579200000000004
-61.803000000000004,0.06604399999999999
-61.793,0.05692100000000003
-61.782999999999994,0.04867600000000001
-61.773,0.04127799999999999
-61.763,0.03464860000000001
-61.75299999999999,0.028807600000000003
-61.743,0.023803800000000003
-61.733,0.0193776
-61.72299999999999,0.0156552
-61.713,0.012539999999999996
-61.702999999999996,0.00993702
-61.69299999999999,0.0077997399999999995
-61.683,0.006068990000000002
-61.672999999999995,0.00466708
-61.663000000000004,0.0035584000000000024
-61.653,0.0026880800000000007
-61.642999999999994,0.0020085599999999995
-61.633,0.0014803110000000009
-61.623,0.0010828749999999996
-61.61299999999999,0.0007842360000000002
-61.603,0.0005622169999999998
-61.592999999999996,0.00039908670000000034
-61.58299999999999,0.00028062959999999995
-61.573,0.00019415220000000002
-61.562999999999995,0.00013380120000000003
-61.553000000000004,9.105280000000002e-05
-61.543,6.130567e-05
