,Mo_4dzx
-62.464000000000006,1.3718800000000005e-10
-62.454,2.1705299999999989e-10
-62.443999999999996,3.3924199999999977e-10
-62.434000000000005,5.2655e-10
-62.424,8.0792e-10
-62.413999999999994,1.2275e-09
-62.404,1.8444500000000002e-09
-62.394,2.747860000000001e-09
-62.38400000000001,4.037299999999999e-09
-62.374,5.9016e-09
-62.364,8.517200000000004e-09
-62.354000000000006,1.2173999999999999e-08
-62.344,1.7233500000000003e-08
-62.333999999999996,2.4088999999999995e-08
-62.324000000000005,3.350200000000002e-08
-62.314,4.6111999999999996e-08
-62.303999999999995,6.272e-08
-62.294000000000004,8.449800000000002e-08
-62.284,1.1285100000000004e-07
-62.27400000000001,1.4943000000000004e-07
-62.264,1.955399999999999e-07
-62.254,2.540900000000001e-07
-62.24400000000001,3.2599999999999993e-07
-62.234,4.163800000000003e-07
-62.224,5.2417e-07
-62.214000000000006,6.557099999999999e-07
-62.204,8.129899999999998e-07
-62.193999999999996,9.989999999999997e-07
-62.184000000000005,1.2160000000000007e-06
-62.174,1.4672000000000008e-06
-62.163999999999994,1.7535999999999983e-06
-62.154,2.0805e-06
-62.144,2.4453e-06
-62.13400000000001,2.8483e-06
-62.124,3.286899999999999e-06
-62.114,3.7747000000000005e-06
-62.104000000000006,4.2736e-06
-62.094,4.8157e-06
-62.083999999999996,5.384099999999997e-06
-62.074000000000005,5.962700000000002e-06
-62.064,6.543999999999998e-06
-62.053999999999995,7.135999999999997e-06
-62.044000000000004,7.697000000000001e-06
-62.034,8.255999999999999e-06
-62.02400000000001,8.768000000000001e-06
-62.014,9.248e-06
-62.004,9.696000000000003e-06
-61.99400000000001,1.0032e-05
-61.984,1.0335999999999992e-05
-61.974,1.0544e-05
-61.964000000000006,1.0671999999999997e-05
-61.954,1.0719999999999992e-05
-61.943999999999996,1.0671999999999997e-05
-61.934000000000005,1.0560000000000004e-05
-61.924,1.0368000000000003e-05
-61.913999999999994,1.0061e-05
-61.904,9.696000000000002e-06
-61.894,9.280000000000001e-06
-61.88400000000001,8.790999999999998e-06
-61.874,8.272000000000001e-06
-61.864,7.722900000000004e-06
-61.854000000000006,7.127000000000002e-06
-61.844,6.552e-06
-61.833999999999996,5.951699999999998e-06
-61.824000000000005,5.3640000000000015e-06
-61.814,4.7956e-06
-61.803999999999995,4.253699999999999e-06
-61.794000000000004,3.7397999999999993e-06
-61.784,3.2547000000000004e-06
-61.77400000000001,2.7983999999999993e-06
-61.764,2.4009e-06
-61.754,2.0334000000000003e-06
-61.74400000000001,1.7071999999999995e-06
-61.734,1.42069e-06
-61.724,1.1701300000000004e-06
-61.714000000000006,9.5644e-07
-61.704,7.739500000000004e-07
-61.693999999999996,6.207800000000002e-07
-61.684000000000005,4.923200000000001e-07
-61.674,3.8731999999999984e-07
-61.663999999999994,3.0127999999999985e-07
-61.654,2.3312300000000004e-07
-61.644,1.77708e-07
-61.63400000000001,1.3448200000000003e-07
-61.624,1.0072499999999997e-07
-61.614,7.469299999999999e-08
-61.604000000000006,5.484799999999997e-08
-61.594,3.989599999999999e-08
-61.583999999999996,2.8753599999999996e-08
-61.574000000000005,2.04607e-08
-61.564,1.4417100000000001e-08
-61.553999999999995,1.0067899999999997e-08
-61.544000000000004,6.957699999999997e-09
-61.534,4.755199999999999e-09
-61.52400000000001,3.2167200000000004e-09
-61.514,2.161720000000001e-09
-61.504,1.4318900000000007e-09
-61.49400000000001,9.3993e-10
-61.484,6.108710000000002e-10
-61.474,3.9263100000000003e-10
-61.464000000000006,2.4959499999999995e-10
-61.454,1.5726200000000003e-10
-61.443999999999996,9.798699999999995e-11
-61.434000000000005,6.039329999999998e-11
-61.424,3.6828000000000006e-11
-61.413999999999994,2.22065e-11
-61.404,1.3300899999999995e-11
-61.394,7.86301e-12
-61.38400000000001,4.601929999999999e-12
-61.374,2.6636099999999998e-12
-61.364,1.5253300000000011e-12
-61.354000000000006,8.642539999999999e-13
-61.344,4.846960000000001e-13
-61.333999999999996,2.69463e-13
-61.324000000000005,1.4767299999999998e-13
-61.314,8.019240000000002e-14
-61.303999999999995,4.3069299999999993e-14
-61.294000000000004,2.2901899999999988e-14
-61.284,1.2057690000000005e-14
-61.27400000000001,6.2737999999999995e-15
-61.264,3.2249500000000013e-15
-61.254,1.6405600000000002e-15
-61.24400000000001,8.234165850000002e-16
-61.234,4.114151770000001e-16
-61.224,2.0336450599999996e-16
-61.214000000000006,9.778391290000003e-17
-61.204,4.341084383e-17
-61.193999999999996,2.0759778980000002e-17
-61.184000000000005,7.544767559999998e-18
-61.174,0.0
-61.163999999999994,0.0
-61.154,0.0
-61.144,0.0
-61.13400000000001,0.0
-61.124,0.0
-61.114,0.0
-61.104000000000006,0.0
-61.094,0.0
-61.083999999999996,0.0
-61.074000000000005,0.0
-61.064,0.0
-61.053999999999995,0.0
-61.044000000000004,0.0
-61.034,0.0
-61.02400000000001,0.0
-61.014,0.0
-61.004,0.0
-60.99400000000001,0.0
-60.984,0.0
-60.974,0.0
-60.964000000000006,0.0
-60.954,0.0
