,Mo_2s
-62.392,0.00012447999999999997
-62.382,0.00019776000000000003
-62.37200000000001,0.00031040000000000006
-62.362,0.0004827800000000003
-62.352,0.0007423999999999999
-62.342000000000006,0.0011311999999999995
-62.332,0.0017023999999999993
-62.321999999999996,0.002540799999999999
-62.312000000000005,0.003750599999999998
-62.302,0.005479700000000002
-62.291999999999994,0.007911000000000003
-62.282000000000004,0.011327999999999998
-62.272,0.016036999999999996
-62.26200000000001,0.02248
-62.252,0.031162
-62.242,0.04273600000000002
-62.232000000000006,0.058064000000000004
-62.222,0.07808000000000005
-62.211999999999996,0.10368000000000001
-62.202000000000005,0.13648000000000005
-62.192,0.17788000000000004
-62.181999999999995,0.22930999999999988
-62.172000000000004,0.29247999999999985
-62.162,0.3689499999999999
-62.151999999999994,0.46096000000000004
-62.142,0.5696500000000001
-62.132,0.6976000000000003
-62.12200000000001,0.8448
-62.112,1.0096000000000003
-62.102,1.1983999999999992
-62.092000000000006,1.4032000000000004
-62.082,1.632000000000001
-62.071999999999996,1.8735999999999997
-62.062000000000005,2.128
-62.052,2.394300000000001
-62.041999999999994,2.6656
-62.032000000000004,2.934399999999999
-62.022,3.1983999999999995
-62.01200000000001,3.4495999999999967
-62.002,3.6768
-61.992,3.8832000000000004
-61.982000000000006,4.0592000000000015
-61.972,4.195900000000002
-61.961999999999996,4.291199999999998
-61.952000000000005,4.340800000000002
-61.942,4.348799999999998
-61.931999999999995,4.3088000000000015
-61.922000000000004,4.223999999999997
-61.912,4.0976
-61.901999999999994,3.9343999999999983
-61.892,3.7376000000000036
-61.882,3.5103999999999984
-61.87200000000001,3.262400000000002
-61.862,3.0031999999999996
-61.852,2.7327999999999983
-61.842000000000006,2.4624
-61.832,2.1936000000000004
-61.821999999999996,1.9344
-61.812000000000005,1.6856
-61.802,1.4543999999999995
-61.791999999999994,1.2415999999999998
-61.782000000000004,1.0527999999999997
-61.772,0.8782999999999997
-61.76200000000001,0.7250999999999999
-61.752,0.5941699999999999
-61.742,0.4809599999999997
-61.732000000000006,0.3853
-61.722,0.30528
-61.711999999999996,0.23936
-61.702000000000005,0.18564
-61.692,0.14240000000000014
-61.681999999999995,0.10816000000000002
-61.672000000000004,0.08144000000000004
-61.662,0.060412000000000035
-61.651999999999994,0.04443100000000003
-61.642,0.032291999999999994
-61.632,0.023262000000000005
-61.62200000000001,0.01656899999999999
-61.612,0.011665000000000007
-61.602,0.008127999999999998
-61.592000000000006,0.005603299999999995
-61.582,0.003823199999999999
-61.571999999999996,0.0025793
-61.562000000000005,0.0017217999999999992
-61.552,0.0011376000000000001
-61.541999999999994,0.0007439999999999994
-61.532000000000004,0.00048065000000000006
-61.522,0.0003073600000000001
-61.51200000000001,0.0001945900000000001
-61.502,0.00012160000000000006
-61.492,7.536e-05
-61.482000000000006,4.619800000000002e-05
-61.472,2.799999999999999e-05
-61.461999999999996,1.6784999999999993e-05
-61.452000000000005,9.954999999999997e-06
-61.442,5.846800000000005e-06
-61.431999999999995,3.395300000000002e-06
-61.422000000000004,1.9513000000000003e-06
-61.412,1.1062999999999993e-06
-61.401999999999994,6.231200000000002e-07
-61.392,3.4640999999999983e-07
-61.382,1.9058999999999983e-07
-61.37200000000001,1.0355000000000004e-07
-61.362,5.5878000000000006e-08
-61.352,2.977100000000002e-08
-61.342000000000006,1.5680000000000012e-08
-61.332,8.163999999999996e-09
-61.321999999999996,4.220200000000001e-09
-61.312000000000005,2.152500000000001e-09
-61.302,1.0891000000000003e-09
-61.291999999999994,5.428699999999999e-10
-61.282000000000004,2.6678000000000014e-10
-61.272,1.2989e-10
-61.26200000000001,6.250700000000003e-11
-61.252,2.8793e-11
-61.242,5.083700000000001e-12
-61.232000000000006,0.0
-61.222,0.0
-61.211999999999996,0.0
-61.202000000000005,0.0
-61.192,0.0
-61.181999999999995,0.0
-61.172000000000004,0.0
-61.162,0.0
-61.151999999999994,0.0
-61.142,0.0
-61.132,0.0
-61.12200000000001,0.0
-61.112,0.0
-61.102,0.0
-61.092000000000006,0.0
-61.082,0.0
-61.071999999999996,0.0
-61.062000000000005,0.0
-61.052,0.0
-61.041999999999994,0.0
-61.032000000000004,0.0
-61.022,0.0
-61.01200000000001,0.0
-61.002,0.0
-60.992,0.0
-60.982000000000006,0.0
-60.972,0.0
-60.961999999999996,0.0
-60.952000000000005,0.0
-60.942,0.0
-60.931999999999995,0.0
-60.922000000000004,0.0
-60.912,0.0
-60.901999999999994,0.0
-60.892,0.0
-60.882,0.0
-60.87200000000001,0.0
-60.862,0.0
-60.852,0.0
-60.842000000000006,0.0
-60.832,0.0
-60.821999999999996,0.0
-60.812000000000005,0.0
-60.802,0.0
-60.791999999999994,0.0
-60.782000000000004,0.0
-60.772,0.0
-60.76200000000001,0.0
-60.752,0.0
-60.742,0.0
-60.732000000000006,0.0
-60.722,0.0
-60.711999999999996,0.0
-60.702000000000005,0.0
-60.692,0.0
-60.681999999999995,0.0
-60.672000000000004,0.0
-60.662,0.0
-60.651999999999994,0.0
-60.642,0.0
-60.632,0.0
-60.62200000000001,0.0
-60.612,0.0
-60.602,0.0
-60.592000000000006,0.0
-60.582,0.0
-60.571999999999996,0.0
-60.562000000000005,0.0
-60.552,0.0
-60.541999999999994,0.0
-60.532000000000004,0.0
-60.522,0.0
-60.51200000000001,0.0
-60.502,0.0
-60.492,0.0
-60.482000000000006,0.0
-60.472,0.0
-60.461999999999996,0.0
-60.452000000000005,0.0
-60.442,0.0
-60.431999999999995,0.0
-60.422000000000004,0.0
-60.412,0.0
-60.401999999999994,0.0
-60.392,0.0
-60.382,0.0
-60.37200000000001,0.0
-60.362,0.0
-60.352,0.0
-60.342000000000006,0.0
-60.332,0.0
-60.321999999999996,0.0
-60.312000000000005,0.0
-60.302,0.0
-60.291999999999994,0.0
-60.282000000000004,0.0
-60.272,0.0
-60.26200000000001,0.0
-60.252,0.0
-60.242,0.0
-60.232000000000006,0.0
-60.222,0.0
-60.211999999999996,0.0
-60.202000000000005,0.0
-60.192,0.0
-60.181999999999995,0.0
