,Mo_4dz2
-62.392,1.0041999999999998e-05
-62.382,1.5744000000000007e-05
-62.37200000000001,2.4384000000000013e-05
-62.362,3.7424000000000006e-05
-62.352,5.677800000000001e-05
-62.342000000000006,8.527999999999997e-05
-62.332,0.00012671999999999995
-62.321999999999996,0.00018611000000000002
-62.312000000000005,0.0002705599999999999
-62.302,0.00038975999999999974
-62.291999999999994,0.0005548199999999997
-62.282000000000004,0.0007823999999999996
-62.272,0.0010890000000000003
-62.26200000000001,0.0015040000000000006
-62.252,0.002053100000000001
-62.242,0.0027725
-62.232000000000006,0.0037039999999999994
-62.222,0.004898
-62.211999999999996,0.006422399999999991
-62.202000000000005,0.008304000000000002
-62.192,0.010639999999999995
-62.181999999999995,0.013471999999999993
-62.172000000000004,0.016911999999999993
-62.162,0.020976
-62.151999999999994,0.02576000000000001
-62.142,0.03131199999999995
-62.132,0.037695999999999986
-62.12200000000001,0.044847999999999985
-62.112,0.052831999999999976
-62.102,0.06157099999999997
-62.092000000000006,0.07088000000000001
-62.082,0.08096000000000005
-62.071999999999996,0.09168000000000007
-62.062000000000005,0.10223999999999997
-62.052,0.11296000000000003
-62.041999999999994,0.12367999999999989
-62.032000000000004,0.13392
-62.022,0.14368
-62.01200000000001,0.1521600000000001
-62.002,0.15984000000000007
-61.992,0.16575999999999996
-61.982000000000006,0.17056000000000002
-61.972,0.17359999999999998
-61.961999999999996,0.17456000000000005
-61.952000000000005,0.17391999999999996
-61.942,0.17151999999999995
-61.931999999999995,0.16720000000000007
-61.922000000000004,0.1615999999999998
-61.912,0.15424
-61.901999999999994,0.1459199999999999
-61.892,0.13631999999999997
-61.882,0.12639000000000006
-61.87200000000001,0.11563999999999999
-61.862,0.10496000000000007
-61.852,0.09408000000000007
-61.842000000000006,0.08351999999999998
-61.832,0.07357000000000001
-61.821999999999996,0.06387200000000003
-61.812000000000005,0.054960000000000064
-61.802,0.046796999999999964
-61.791999999999994,0.03942400000000003
-61.782000000000004,0.03289599999999999
-61.772,0.027152000000000013
-61.76200000000001,0.02217899999999999
-61.752,0.01792099999999999
-61.742,0.014352
-61.732000000000006,0.011360000000000007
-61.722,0.008896
-61.711999999999996,0.006896000000000001
-61.702000000000005,0.005286400000000003
-61.692,0.004012799999999998
-61.681999999999995,0.0030140000000000015
-61.672000000000004,0.0022416000000000016
-61.662,0.001649599999999999
-61.651999999999994,0.0012
-61.642,0.0008640000000000002
-61.632,0.0006164999999999999
-61.62200000000001,0.0004346900000000002
-61.612,0.00030336000000000024
-61.602,0.0002096000000000001
-61.592000000000006,0.00014321
-61.582,9.692000000000003e-05
-61.571999999999996,6.489600000000006e-05
-61.562000000000005,4.2960000000000016e-05
-61.552,2.8173000000000003e-05
-61.541999999999994,1.8249e-05
-61.532000000000004,1.1711999999999992e-05
-61.522,7.456000000000001e-06
-61.51200000000001,4.6761000000000025e-06
-61.502,2.905600000000002e-06
-61.492,1.7866000000000002e-06
-61.482000000000006,1.0895999999999995e-06
-61.472,6.5568e-07
-61.461999999999996,3.9075e-07
-61.452000000000005,2.3032000000000007e-07
-61.442,1.344e-07
-61.431999999999995,7.764000000000004e-08
-61.422000000000004,4.435199999999999e-08
-61.412,2.507200000000002e-08
-61.401999999999994,1.4031999999999991e-08
-61.392,7.759999999999993e-09
-61.382,4.251199999999999e-09
-61.37200000000001,2.303e-09
-61.362,1.2336000000000006e-09
-61.352,6.547800000000004e-10
-61.342000000000006,3.4379999999999994e-10
-61.332,1.785599999999999e-10
-61.321999999999996,9.181000000000002e-11
-61.312000000000005,4.6624000000000005e-11
-61.302,2.3440000000000002e-11
-61.291999999999994,1.1663999999999999e-11
-61.282000000000004,5.5715999999999986e-12
-61.272,2.6467999999999996e-12
-61.26200000000001,1.1705000000000001e-12
-61.252,5.560499999999998e-13
-61.242,1.1603000000000004e-13
-61.232000000000006,0.0
-61.222,0.0
-61.211999999999996,0.0
-61.202000000000005,0.0
-61.192,0.0
-61.181999999999995,0.0
-61.172000000000004,0.0
-61.162,0.0
-61.151999999999994,0.0
-61.142,0.0
-61.132,0.0
-61.12200000000001,0.0
-61.112,0.0
-61.102,0.0
-61.092000000000006,0.0
-61.082,0.0
-61.071999999999996,0.0
-61.062000000000005,0.0
-61.052,0.0
-61.041999999999994,0.0
-61.032000000000004,0.0
-61.022,0.0
-61.01200000000001,0.0
-61.002,0.0
-60.992,0.0
-60.982000000000006,0.0
-60.972,0.0
-60.961999999999996,0.0
-60.952000000000005,0.0
-60.942,0.0
-60.931999999999995,0.0
-60.922000000000004,0.0
-60.912,0.0
-60.901999999999994,0.0
-60.892,0.0
-60.882,0.0
-60.87200000000001,0.0
-60.862,0.0
-60.852,0.0
-60.842000000000006,0.0
-60.832,0.0
-60.821999999999996,0.0
-60.812000000000005,0.0
-60.802,0.0
-60.791999999999994,0.0
-60.782000000000004,0.0
-60.772,0.0
-60.76200000000001,0.0
-60.752,0.0
-60.742,0.0
-60.732000000000006,0.0
-60.722,0.0
-60.711999999999996,0.0
-60.702000000000005,0.0
-60.692,0.0
-60.681999999999995,0.0
-60.672000000000004,0.0
-60.662,0.0
-60.651999999999994,0.0
-60.642,0.0
-60.632,0.0
-60.62200000000001,0.0
-60.612,0.0
-60.602,0.0
-60.592000000000006,0.0
-60.582,0.0
-60.571999999999996,0.0
-60.562000000000005,0.0
-60.552,0.0
-60.541999999999994,0.0
-60.532000000000004,0.0
-60.522,0.0
-60.51200000000001,0.0
-60.502,0.0
-60.492,0.0
-60.482000000000006,0.0
-60.472,0.0
-60.461999999999996,0.0
-60.452000000000005,0.0
-60.442,0.0
-60.431999999999995,0.0
-60.422000000000004,0.0
-60.412,0.0
-60.401999999999994,0.0
-60.392,0.0
-60.382,0.0
-60.37200000000001,0.0
-60.362,0.0
-60.352,0.0
-60.342000000000006,0.0
-60.332,0.0
-60.321999999999996,0.0
-60.312000000000005,0.0
-60.302,0.0
-60.291999999999994,0.0
-60.282000000000004,0.0
-60.272,0.0
-60.26200000000001,0.0
-60.252,0.0
