,Mo_4dzy
-62.392,5.775999999999998e-10
-62.382,9.0935e-10
-62.37200000000001,1.4144000000000002e-09
-62.362,2.1808000000000014e-09
-62.352,3.3242000000000006e-09
-62.342000000000006,5.020900000000001e-09
-62.332,7.483699999999996e-09
-62.321999999999996,1.1039999999999997e-08
-62.312000000000005,1.6111999999999996e-08
-62.302,2.3313000000000018e-08
-62.291999999999994,3.332500000000001e-08
-62.282000000000004,4.7111e-08
-62.272,6.5888e-08
-62.26200000000001,9.119800000000003e-08
-62.252,1.2495999999999992e-07
-62.242,1.694399999999999e-07
-62.232000000000006,2.2719999999999984e-07
-62.222,3.0144999999999994e-07
-62.211999999999996,3.957e-07
-62.202000000000005,5.129599999999995e-07
-62.192,6.596799999999997e-07
-62.181999999999995,8.385600000000007e-07
-62.172000000000004,1.0549000000000005e-06
-62.162,1.3136000000000004e-06
-62.151999999999994,1.6176000000000002e-06
-62.142,1.9704999999999996e-06
-62.132,2.3775e-06
-62.12200000000001,2.833600000000002e-06
-62.112,3.342499999999999e-06
-62.102,3.9026000000000005e-06
-62.092000000000006,4.5094e-06
-62.082,5.153599999999998e-06
-62.071999999999996,5.8319999999999985e-06
-62.062000000000005,6.516800000000002e-06
-62.052,7.220800000000003e-06
-62.041999999999994,7.9024e-06
-62.032000000000004,8.561600000000001e-06
-62.022,9.187900000000002e-06
-62.01200000000001,9.744999999999992e-06
-62.002,1.0239999999999997e-05
-61.992,1.0624e-05
-61.982000000000006,1.0912000000000002e-05
-61.972,1.1104000000000006e-05
-61.961999999999996,1.1167999999999999e-05
-61.952000000000005,1.1136000000000005e-05
-61.942,1.0944000000000012e-05
-61.931999999999995,1.0671999999999997e-05
-61.922000000000004,1.0304000000000005e-05
-61.912,9.819e-06
-61.901999999999994,9.268800000000007e-06
-61.892,8.657600000000005e-06
-61.882,8.001500000000003e-06
-61.87200000000001,7.3048e-06
-61.862,6.615999999999998e-06
-61.852,5.9311999999999975e-06
-61.842000000000006,5.2517e-06
-61.832,4.598100000000003e-06
-61.821999999999996,3.987200000000004e-06
-61.812000000000005,3.421200000000002e-06
-61.802,2.9039999999999996e-06
-61.791999999999994,2.440299999999999e-06
-61.782000000000004,2.0280999999999984e-06
-61.772,1.6688000000000015e-06
-61.76200000000001,1.3568000000000003e-06
-61.752,1.0928000000000006e-06
-61.742,8.691199999999995e-07
-61.732000000000006,6.852800000000002e-07
-61.722,5.351999999999998e-07
-61.711999999999996,4.129799999999999e-07
-61.702000000000005,3.1537000000000005e-07
-61.692,2.3834000000000008e-07
-61.681999999999995,1.7836000000000002e-07
-61.672000000000004,1.318400000000001e-07
-61.662,9.647999999999992e-08
-61.651999999999994,6.9776e-08
-61.642,5.001899999999998e-08
-61.632,3.5504e-08
-61.62200000000001,2.491200000000002e-08
-61.612,1.7281e-08
-61.602,1.1888000000000002e-08
-61.592000000000006,8.0806e-09
-61.582,5.422399999999999e-09
-61.571999999999996,3.6129000000000006e-09
-61.562000000000005,2.3802000000000014e-09
-61.552,1.5503999999999993e-09
-61.541999999999994,9.984999999999994e-10
-61.532000000000004,6.383500000000001e-10
-61.522,4.0216000000000014e-10
-61.51200000000001,2.5111e-10
-61.502,1.5514999999999995e-10
-61.492,9.486600000000001e-11
-61.482000000000006,5.7510999999999986e-11
-61.472,3.436799999999999e-11
-61.461999999999996,2.0351999999999988e-11
-61.452000000000005,1.1936000000000004e-11
-61.442,6.914600000000001e-12
-61.431999999999995,3.9677999999999985e-12
-61.422000000000004,2.2512000000000003e-12
-61.412,1.2656000000000012e-12
-61.401999999999994,7.041600000000001e-13
-61.392,3.867400000000002e-13
-61.382,2.1039999999999982e-13
-61.37200000000001,1.1344000000000006e-13
-61.362,6.0368e-14
-61.352,3.180800000000002e-14
-61.342000000000006,1.6591999999999998e-14
-61.332,8.551199999999999e-15
-61.321999999999996,4.371099999999999e-15
-61.312000000000005,2.2080000000000008e-15
-61.302,1.1040000000000002e-15
-61.291999999999994,5.4544e-16
-61.282000000000004,2.5980000000000005e-16
-61.272,1.2383999999999996e-16
-61.26200000000001,4.447600000000003e-17
-61.252,1.620999999999999e-17
-61.242,4.5573000000000004e-18
-61.232000000000006,0.0
-61.222,0.0
-61.211999999999996,0.0
-61.202000000000005,0.0
-61.192,0.0
-61.181999999999995,0.0
-61.172000000000004,0.0
-61.162,0.0
-61.151999999999994,0.0
-61.142,0.0
-61.132,0.0
-61.12200000000001,0.0
-61.112,0.0
-61.102,0.0
-61.092000000000006,0.0
-61.082,0.0
-61.071999999999996,0.0
-61.062000000000005,0.0
-61.052,0.0
-61.041999999999994,0.0
-61.032000000000004,0.0
-61.022,0.0
-61.01200000000001,0.0
-61.002,0.0
-60.992,0.0
-60.982000000000006,0.0
-60.972,0.0
-60.961999999999996,0.0
-60.952000000000005,0.0
-60.942,0.0
-60.931999999999995,0.0
-60.922000000000004,0.0
-60.912,0.0
-60.901999999999994,0.0
-60.892,0.0
-60.882,0.0
-60.87200000000001,0.0
-60.862,0.0
-60.852,0.0
-60.842000000000006,0.0
-60.832,0.0
-60.821999999999996,0.0
-60.812000000000005,0.0
-60.802,0.0
-60.791999999999994,0.0
-60.782000000000004,0.0
-60.772,0.0
-60.76200000000001,0.0
-60.752,0.0
-60.742,0.0
-60.732000000000006,0.0
-60.722,0.0
-60.711999999999996,0.0
-60.702000000000005,0.0
-60.692,0.0
-60.681999999999995,0.0
-60.672000000000004,0.0
-60.662,0.0
-60.651999999999994,0.0
-60.642,0.0
-60.632,0.0
-60.62200000000001,0.0
-60.612,0.0
-60.602,0.0
-60.592000000000006,0.0
-60.582,0.0
-60.571999999999996,0.0
-60.562000000000005,0.0
-60.552,0.0
-60.541999999999994,0.0
-60.532000000000004,0.0
-60.522,0.0
-60.51200000000001,0.0
-60.502,0.0
-60.492,0.0
-60.482000000000006,0.0
-60.472,0.0
-60.461999999999996,0.0
-60.452000000000005,0.0
-60.442,0.0
-60.431999999999995,0.0
-60.422000000000004,0.0
-60.412,0.0
-60.401999999999994,0.0
-60.392,0.0
-60.382,0.0
-60.37200000000001,0.0
-60.362,0.0
-60.352,0.0
-60.342000000000006,0.0
-60.332,0.0
-60.321999999999996,0.0
-60.312000000000005,0.0
-60.302,0.0
-60.291999999999994,0.0
-60.282000000000004,0.0
-60.272,0.0
-60.26200000000001,0.0
-60.252,0.0
-60.242,0.0
-60.232000000000006,0.0
-60.222,0.0
-60.211999999999996,0.0
-60.202000000000005,0.0
-60.192,0.0
-60.181999999999995,0.0
-60.172000000000004,0.0
-60.162,0.0
-60.151999999999994,0.0
-60.142,0.0
-60.132,0.0
-60.12200000000001,0.0
-60.112,0.0
-60.102,0.0
-60.092000000000006,0.0
-60.082,0.0
-60.071999999999996,0.0
-60.062000000000005,0.0
-60.052,0.0
-60.041999999999994,0.0
-60.032000000000004,0.0
