,S_2pz
-62.392,0.00021594000000000016
-62.382,0.0003399899999999998
-62.37200000000001,0.0005286399999999999
-62.362,0.0008145400000000013
-62.352,0.0012424000000000005
-62.342000000000006,0.0018725999999999986
-62.332,0.002789299999999995
-62.321999999999996,0.004114099999999998
-62.312000000000005,0.006010300000000007
-62.302,0.008684800000000003
-62.291999999999994,0.012397299999999997
-62.282000000000004,0.017567999999999993
-62.272,0.02456000000000002
-62.26200000000001,0.034007000000000016
-62.252,0.046600000000000044
-62.242,0.06313600000000005
-62.232000000000006,0.08467599999999999
-62.222,0.11232599999999998
-62.211999999999996,0.1473599999999999
-62.202000000000005,0.19137000000000007
-62.192,0.24624000000000007
-62.181999999999995,0.3128700000000002
-62.172000000000004,0.3941399999999995
-62.162,0.49027000000000065
-62.151999999999994,0.6043200000000002
-62.142,0.7363899999999992
-62.132,0.8881600000000003
-62.12200000000001,1.0593000000000004
-62.112,1.2506599999999997
-62.102,1.4624000000000026
-62.092000000000006,1.6896000000000007
-62.082,1.9328000000000003
-62.071999999999996,2.185600000000001
-62.062000000000005,2.4431999999999987
-62.052,2.7088
-62.041999999999994,2.9680000000000044
-62.032000000000004,3.2207999999999966
-62.022,3.4559000000000015
-62.01200000000001,3.6688000000000036
-62.002,3.854399999999996
-61.992,4.007999999999999
-61.982000000000006,4.118400000000007
-61.972,4.194600000000005
-61.961999999999996,4.222400000000003
-61.952000000000005,4.204800000000003
-61.942,4.143999999999998
-61.931999999999995,4.044800000000007
-61.922000000000004,3.8976000000000046
-61.912,3.723199999999995
-61.901999999999994,3.5184000000000055
-61.892,3.289599999999996
-61.882,3.045599999999997
-61.87200000000001,2.7823999999999987
-61.862,2.524800000000002
-61.852,2.2576000000000023
-61.842000000000006,2.000100000000003
-61.832,1.756800000000002
-61.821999999999996,1.5248000000000015
-61.812000000000005,1.3071999999999988
-61.802,1.112160000000001
-61.791999999999994,0.9349100000000007
-61.782000000000004,0.7777600000000013
-61.772,0.6395799999999997
-61.76200000000001,0.5209500000000006
-61.752,0.41952999999999996
-61.742,0.3348800000000001
-61.732000000000006,0.2636799999999998
-61.722,0.20624000000000006
-61.711999999999996,0.15934000000000004
-61.702000000000005,0.12158499999999998
-61.692,0.09192399999999988
-61.681999999999995,0.06872599999999986
-61.672000000000004,0.05089499999999997
-61.662,0.037271999999999986
-61.651999999999994,0.026992000000000013
-61.642,0.019351999999999994
-61.632,0.013695999999999991
-61.62200000000001,0.009630499999999998
-61.612,0.006689799999999997
-61.602,0.004596700000000004
-61.592000000000006,0.0031231999999999957
-61.582,0.002102299999999998
-61.571999999999996,0.0013950000000000004
-61.562000000000005,0.0009204799999999997
-61.552,0.0005996299999999999
-61.541999999999994,0.00038670000000000045
-61.532000000000004,0.0002463999999999998
-61.522,0.00015551999999999992
-61.51200000000001,9.708299999999983e-05
-61.502,5.995300000000004e-05
-61.492,3.6624e-05
-61.482000000000006,2.217300000000002e-05
-61.472,1.3251400000000008e-05
-61.461999999999996,7.849599999999993e-06
-61.452000000000005,4.5965999999999925e-06
-61.442,2.6616999999999948e-06
-61.431999999999995,1.5285999999999999e-06
-61.422000000000004,8.662199999999999e-07
-61.412,4.861100000000002e-07
-61.401999999999994,2.6975999999999974e-07
-61.392,1.4831000000000017e-07
-61.382,8.062300000000006e-08
-61.37200000000001,4.337299999999999e-08
-61.362,2.3042000000000025e-08
-61.352,1.213169999999999e-08
-61.342000000000006,6.324300000000003e-09
-61.332,3.2582999999999986e-09
-61.321999999999996,1.6608000000000005e-09
-61.312000000000005,8.384299999999996e-10
-61.302,4.1830000000000056e-10
-61.291999999999994,2.0687000000000034e-10
-61.282000000000004,9.838699999999996e-11
-61.272,4.6500999999999984e-11
-61.26200000000001,1.8224000000000005e-11
-61.252,4.869700000000002e-12
-61.242,1.166319999999999e-13
-61.232000000000006,0.0
-61.222,0.0
-61.211999999999996,0.0
