slab,mol,nset,xtheta,ytheta,ztheta,0
slab3,molA,nset1,-79.30373429862013,83.03476969693276,-105.36077247481738,394901.138194637
slab3,molA,nset2,171.02219441618848,-162.15500198344046,-170.46060513061826,394900.832624391
slab3,molA,nset3,-167.0073036649579,14.203502744724972,96.69628502198316,394901.076377124
slab3,molA,nset4,124.9034283239701,91.4924124154386,-84.70913578553217,394901.169736661
slab3,molA,nset5,21.794908666966478,59.53566311204585,-53.76573885208147,394901.097848749
slab3,molA,nset6,169.90693749357746,159.454403402676,58.49681079014934,394900.95735295
slab3,molA,nset7,-130.60453387880466,-12.041808646530484,-169.8735489118434,394900.833059124
slab3,molA,nset8,-112.15727012072826,-67.48303548998656,93.45883502952961,394900.730094497
slab3,molA,nset9,-126.78074711657467,-8.00678647913682,-7.3072013218121015,394900.821610968
slab3,molA,nset10,56.14515817229986,-134.7087991603816,-4.944457177766253,394901.148616324
slab3,molA,nset11,-83.0978061165863,137.55789278883816,104.07946794210147,394901.143561506
slab3,molA,nset12,-118.78944667238348,-64.42784357306802,-28.995204774575512,394901.041472262
slab3,molA,nset13,-26.388256591784938,-84.9456763670179,87.17606599964864,394901.17132038
slab3,molA,nset14,-108.06825812988005,11.520729551948534,16.59704157466973,394900.603009711
slab3,molA,nset15,-105.16038125309761,-108.49575037054069,164.81435522448857,394901.169538011
slab3,molA,nset16,73.00439981319039,-4.684703220629444,-152.38790244883575,394900.883593786
slab3,molA,nset17,31.117460532078013,148.5183887359625,-108.65537382417904,394901.077601181
slab3,molA,nset18,-150.89597302237036,66.48911562868636,60.47535268855421,394901.039408677
slab3,molA,nset19,78.87074080473371,-93.75808947556591,-54.23582880417004,394901.170251866
slab3,molA,nset20,147.62500278170643,57.64583063362721,-137.92682068180198,394901.042930238
slab3,molA,nset21,-145.89343254231613,-95.06760307907874,-66.68092782175836,394901.037487268
slab3,molA,nset22,42.005431181943464,3.955628647112974,93.91597940381689,394900.957869765
slab3,molA,nset23,96.12629467413103,28.074880010641664,172.7420562999206,394900.872639182
slab3,molA,nset24,109.58321724604417,-77.34579894145126,-46.49856439261566,394901.170328516
slab3,molA,nset25,-16.593310587869865,-33.89216344778083,-43.51709746142845,394901.098651519
slab3,molA,nset26,-41.74578913851221,80.2572848472459,10.377879943631342,394901.171857021
slab3,molA,nset27,15.682788015673253,-81.89784157451686,92.9037773901822,394901.170929323
slab3,molA,nset28,115.5178146151103,-157.9727191289185,86.76347662732633,394901.084515931
slab3,molA,nset29,-122.60799522520747,68.76579937665065,-59.57311871921685,394901.170242901
slab3,molA,nset30,27.158476244315892,-118.69779647582992,-80.1209094563869,394901.101166902
slab3,molA,nset31,-111.10218464088062,24.406401098093994,-13.5744425740277,394900.602155829
slab3,molA,nset32,-62.09771756245995,94.88350054363764,-6.762501616276893,394901.171627861
slab3,molA,nset33,116.4550935985917,-114.03545451686372,65.3852044018337,394901.101435965
slab3,molA,nset34,-104.29055774804408,-97.91442828758801,155.9466224602915,394901.172613136
slab3,molA,nset35,1.5954056123296994,133.41588458098693,-76.46563148727745,394901.037347246
slab3,molA,nset36,-14.451819419811358,109.30558016777496,-84.92758827650194,394901.099471809
slab3,molA,nset37,115.24919734999617,-125.61281915799088,34.34013502683095,394901.100336532
slab3,molA,nset38,48.63488589254035,-88.76230580742175,-19.99831030032871,394901.17078979
slab3,molA,nset39,-85.88240499022628,-79.07857747373814,-21.17830503790526,394901.099868294
slab3,molA,nset40,-161.83141325660628,153.98212517657163,77.7983348721225,394900.968526895
slab3,molA,nset41,-147.16559203675854,-143.32762206557632,177.30729676291514,394901.362403696
slab3,molA,nset42,-12.007330807074567,-162.64227206313748,-138.9362543198348,394900.952215271
slab3,molA,nset43,-20.790766547595837,-122.65274352062167,-15.688915467661417,394901.161858302
slab3,molA,nset44,-76.97692351290584,3.5320042377173024,2.412613620219304,394900.603023138
